date,cases
2020-04-02,3
2020-04-11,4
2020-04-13,5
2020-04-16,9
2020-04-17,10
2020-04-19,11
2020-04-24,12
2020-04-26,13
2020-05-08,14
2020-05-12,15
2020-05-18,16
2020-05-19,18
2020-05-22,19
2020-05-25,20
2020-05-27,21
2020-06-05,22
2020-06-14,23
2020-06-16,24
2020-06-17,28
2020-06-19,31
2020-06-21,32
2020-06-22,34
2020-06-24,36
2020-06-25,37
2020-06-26,38
2020-06-27,39
2020-06-28,41
2020-06-29,42
2020-06-30,44
2020-07-01,47
2020-07-02,51
2020-07-03,55
2020-07-04,63
2020-07-05,65
2020-07-06,78
2020-07-07,84
2020-07-08,88
2020-07-09,90
2020-07-10,93
2020-07-12,95
2020-07-13,102
2020-07-14,106
2020-07-15,108
2020-07-16,111
2020-07-17,119
2020-07-18,121
2020-07-19,122
2020-07-20,123
2020-07-21,125
2020-07-22,136
2020-07-23,137
2020-07-24,141
2020-07-25,143
2020-07-26,145
2020-07-27,152
2020-07-28,159
2020-07-29,162
2020-07-30,163
2020-07-31,165
2020-08-01,166
2020-08-02,167
2020-08-03,171
2020-08-04,175
2020-08-05,183
2020-08-06,190
2020-08-07,191
2020-08-09,192
2020-08-10,203
2020-08-11,205
2020-08-12,216
2020-08-13,221
2020-08-16,225
2020-08-18,231
2020-08-19,237
2020-08-21,239
2020-08-22,240
2020-08-23,241
2020-08-24,256
2020-08-25,262
2020-08-26,270
2020-08-27,274
2020-08-28,281
2020-08-29,282
2020-08-30,285
2020-08-31,296
2020-09-01,299
2020-09-02,308
2020-09-03,313
2020-09-04,322
2020-09-05,324
2020-09-06,328
2020-09-07,342
2020-09-08,352
2020-09-09,362
2020-09-10,369
2020-09-11,376
2020-09-12,378
2020-09-13,384
2020-09-14,393
2020-09-15,405
2020-09-16,410
2020-09-17,419
2020-09-18,421
2020-09-19,426
2020-09-20,433
2020-09-21,449
2020-09-22,457
2020-09-23,466
2020-09-24,476
2020-09-25,478
2020-09-26,480
2020-09-27,484
2020-09-28,495
2020-09-29,501
2020-09-30,506
2020-10-01,515
2020-10-02,521
2020-10-03,525
2020-10-04,528
2020-10-05,539
2020-10-06,547
2020-10-07,551
2020-10-08,554
2020-10-09,557
2020-10-10,560
2020-10-11,565
2020-10-12,566
2020-10-13,572
2020-10-14,576
2020-10-15,584
2020-10-16,590
2020-10-17,591
2020-10-18,593
2020-10-19,605
2020-10-20,615
2020-10-21,621
2020-10-22,628
2020-10-23,632
2020-10-24,634
2020-10-25,640
2020-10-26,645
2020-10-27,651
2020-10-28,654
2020-10-29,659
2020-10-30,668
2020-10-31,672
2020-11-01,675
2020-11-02,679
2020-11-03,688
2020-11-04,694
2020-11-05,698
2020-11-06,718
2020-11-07,726
2020-11-08,731
2020-11-09,738
2020-11-10,747
2020-11-11,750
2020-11-12,756
2020-11-13,767
2020-11-14,776
2020-11-15,780
2020-11-17,784
2020-11-18,789
2020-11-19,796
2020-11-20,803
2020-11-21,810
2020-11-22,811
2020-11-23,821
2020-11-24,828
2020-11-25,844
2020-11-26,854
2020-11-27,864
2020-11-28,867
2020-11-29,870
2020-11-30,887
2020-12-01,893
2020-12-02,898
2020-12-03,903
2020-12-04,912
