date,cases
2020-08-11,1
2020-08-13,2
2020-08-21,3
2020-09-06,4
2020-09-12,6
2020-09-15,7
2020-09-21,8
2020-09-24,10
2020-09-30,11
2020-10-05,12
2020-10-06,14
2020-10-08,15
2020-10-09,16
2020-10-15,18
2020-10-16,19
2020-10-17,20
2020-10-19,22
2020-10-20,26
2020-10-21,27
2020-10-23,29
2020-10-24,40
2020-10-25,41
2020-10-26,42
2020-10-27,47
2020-10-28,49
2020-10-29,50
2020-10-30,51
2020-10-31,56
2020-11-01,57
2020-11-03,58
2020-11-05,62
2020-11-06,79
2020-11-07,87
2020-11-08,93
2020-11-09,102
2020-11-10,108
2020-11-12,109
2020-11-13,116
2020-11-16,117
2020-11-18,118
2020-11-19,119
2020-11-20,120
2020-11-21,121
2020-11-23,125
2020-11-24,131
2020-11-25,133
2020-11-27,136
2020-12-01,137
2020-12-04,138
2020-12-10,141
2020-12-13,142
2020-12-14,144
2020-12-15,152
