date,cases
2020-03-31,1
2020-04-18,2
2020-04-20,3
2020-04-25,6
2020-04-30,7
2020-05-05,9
2020-05-11,10
2020-05-16,11
2020-06-12,14
2020-06-17,15
2020-06-18,16
2020-06-19,19
2020-06-21,22
2020-06-22,23
2020-06-24,25
2020-06-25,27
2020-06-26,28
2020-06-28,29
2020-07-03,30
2020-07-04,31
2020-07-06,32
2020-07-07,33
2020-07-08,37
2020-07-09,39
2020-07-10,42
2020-07-11,45
2020-07-13,47
2020-07-14,52
2020-07-15,55
2020-07-16,58
2020-07-17,68
2020-07-18,69
2020-07-19,70
2020-07-20,71
2020-07-21,73
2020-07-22,75
2020-07-23,76
2020-07-24,79
2020-07-25,81
2020-07-26,85
2020-07-27,95
2020-07-28,100
2020-07-30,106
2020-07-31,109
2020-08-01,117
2020-08-02,121
2020-08-03,131
2020-08-04,139
2020-08-05,144
2020-08-06,184
2020-08-07,192
2020-08-08,202
2020-08-09,206
2020-08-10,213
2020-08-11,224
2020-08-12,231
2020-08-13,234
2020-08-14,251
2020-08-15,255
2020-08-16,259
2020-08-17,260
2020-08-18,268
2020-08-19,279
2020-08-20,287
2020-08-21,322
2020-08-22,333
2020-08-23,339
2020-08-24,385
2020-08-25,400
2020-08-26,415
2020-08-27,434
2020-08-28,450
2020-08-29,477
2020-08-30,493
2020-08-31,498
2020-09-01,515
2020-09-02,586
2020-09-03,603
2020-09-04,625
2020-09-05,641
2020-09-06,671
2020-09-07,682
2020-09-08,714
2020-09-09,741
2020-09-10,768
2020-09-11,788
2020-09-12,825
2020-09-13,888
2020-09-14,900
2020-09-15,917
2020-09-16,982
2020-09-17,992
2020-09-18,1022
2020-09-19,1040
2020-09-20,1067
2020-09-21,1101
2020-09-22,1136
2020-09-23,1198
2020-09-24,1205
2020-09-25,1224
2020-09-26,1229
2020-09-27,1236
2020-09-28,1282
2020-09-29,1287
2020-09-30,1295
2020-10-01,1298
2020-10-02,1316
2020-10-03,1328
2020-10-04,1337
2020-10-05,1487
2020-10-06,1518
2020-10-07,1550
2020-10-08,1573
2020-10-09,1616
2020-10-10,1622
2020-10-11,1631
2020-10-12,1638
2020-10-13,1648
2020-10-14,1660
2020-10-15,1667
2020-10-16,1676
2020-10-17,1690
2020-10-18,1712
2020-10-19,1759
2020-10-20,1856
2020-10-21,1863
2020-10-22,1878
2020-10-23,1950
2020-10-24,1955
2020-10-25,1982
2020-10-26,2012
2020-10-27,2030
2020-10-28,2048
2020-10-29,2058
2020-10-30,2078
2020-10-31,2084
2020-11-01,2088
2020-11-02,2092
2020-11-03,2100
2020-11-04,2103
2020-11-05,2112
2020-11-06,2116
2020-11-07,2119
2020-11-08,2126
2020-11-09,2157
2020-11-10,2160
2020-11-11,2165
2020-11-12,2172
2020-11-13,2203
2020-11-14,2206
2020-11-15,2211
2020-11-16,2212
2020-11-17,2217
2020-11-18,2220
2020-11-19,2228
2020-11-20,2276
2020-11-21,2279
2020-11-22,2286
2020-11-23,2306
2020-11-24,2310
2020-11-25,2317
2020-11-26,2332
2020-11-27,2345
2020-11-28,2352
2020-11-29,2354
2020-11-30,2374
2020-12-01,2378
2020-12-02,2390
2020-12-03,2400
2020-12-04,2402
2020-12-05,2423
2020-12-06,2427
2020-12-07,2436
2020-12-08,2442
2020-12-09,2445
2020-12-10,2450
2020-12-11,2479
2020-12-13,2481
2020-12-14,2495
2020-12-15,2503
2020-12-16,2504
2020-12-18,2509
