date,cases
2020-05-18,1
2020-06-29,2
2020-06-30,3
2020-07-03,4
2020-07-04,5
2020-07-05,9
2020-07-06,29
2020-07-07,44
2020-07-08,45
2020-07-09,48
2020-07-10,50
2020-07-11,92
2020-07-12,97
2020-07-13,107
2020-07-14,114
2020-07-15,137
2020-07-16,150
2020-07-17,161
2020-07-18,170
2020-07-19,175
2020-07-20,179
2020-07-21,190
2020-07-22,208
2020-07-23,214
2020-07-24,234
2020-07-25,237
2020-07-26,241
2020-07-27,250
2020-07-28,267
2020-07-29,273
2020-07-30,293
2020-07-31,297
2020-08-01,305
2020-08-02,311
2020-08-03,328
2020-08-04,342
2020-08-05,345
2020-08-06,357
2020-08-07,360
2020-08-08,365
2020-08-10,370
2020-08-11,374
2020-08-12,376
2020-08-13,381
2020-08-14,388
2020-08-15,391
2020-08-16,392
2020-08-17,399
2020-08-18,400
2020-08-19,401
2020-08-20,408
2020-08-21,415
2020-08-22,417
2020-08-24,426
2020-08-26,428
2020-08-27,432
2020-08-28,436
2020-08-31,438
2020-09-01,439
2020-09-03,442
2020-09-05,443
2020-09-10,447
2020-09-13,448
2020-09-14,449
2020-09-17,452
2020-09-23,453
2020-09-28,454
2020-09-29,455
2020-09-30,457
2020-10-01,458
2020-10-02,459
2020-10-03,460
2020-10-09,462
2020-10-10,463
2020-10-11,464
2020-10-12,465
2020-10-14,471
2020-10-18,472
2020-10-20,479
2020-10-21,481
2020-10-22,486
2020-10-23,490
2020-10-24,493
2020-10-25,495
2020-10-26,500
2020-10-27,503
2020-10-28,512
2020-10-29,513
2020-10-30,515
2020-10-31,516
2020-11-01,519
2020-11-03,521
2020-11-04,522
2020-11-06,524
2020-11-07,526
2020-11-09,527
2020-11-10,529
2020-11-12,530
2020-11-13,531
2020-11-14,532
2020-11-17,533
2020-11-20,534
2020-11-23,537
2020-11-25,539
2020-11-26,540
2020-12-01,541
2020-12-02,542
2020-12-10,543
