date,cases
2020-07-28,1
2020-08-08,2
2020-08-12,3
2020-08-30,4
2020-09-04,5
2020-09-13,6
2020-09-26,7
2020-09-30,8
2020-10-07,9
2020-10-11,10
2020-10-14,12
2020-10-15,13
2020-10-19,14
2020-10-22,16
2020-10-25,17
2020-10-29,19
2020-10-31,20
2020-11-02,22
2020-11-03,23
2020-11-05,24
2020-11-09,28
2020-11-10,30
2020-11-12,33
2020-11-13,34
2020-11-14,39
2020-11-18,41
2020-11-20,43
2020-11-23,53
2020-11-25,54
2020-11-26,58
2020-11-27,59
2020-11-30,60
2020-12-03,62
2020-12-04,63
2020-12-09,69
2020-12-10,71
2020-12-14,74
