date,cases
2020-04-12,2
2020-04-13,6
2020-04-25,7
2020-05-11,10
2020-05-23,12
2020-05-26,15
2020-05-28,19
2020-06-01,21
2020-06-02,22
2020-06-04,24
2020-06-05,25
2020-06-06,26
2020-06-07,28
2020-06-08,29
2020-06-09,31
2020-06-10,36
2020-06-11,40
2020-06-12,43
2020-06-13,45
2020-06-14,46
2020-06-15,47
2020-06-16,51
2020-06-17,57
2020-06-18,58
2020-06-19,66
2020-06-21,68
2020-06-22,69
2020-06-23,73
2020-06-24,78
2020-06-25,82
2020-06-26,88
2020-06-27,91
2020-06-30,97
2020-07-01,103
2020-07-02,112
2020-07-03,117
2020-07-04,120
2020-07-05,123
2020-07-06,129
2020-07-07,135
2020-07-08,146
2020-07-09,151
2020-07-10,157
2020-07-11,162
2020-07-12,165
2020-07-13,177
2020-07-14,183
2020-07-15,192
2020-07-16,204
2020-07-17,210
2020-07-18,213
2020-07-20,215
2020-07-21,223
2020-07-22,235
2020-07-23,241
2020-07-24,244
2020-07-25,250
2020-07-26,255
2020-07-27,260
2020-07-28,263
2020-07-29,269
2020-07-30,274
2020-07-31,278
2020-08-01,281
2020-08-02,286
2020-08-03,294
2020-08-04,300
2020-08-05,306
2020-08-06,315
2020-08-07,321
2020-08-08,323
2020-08-09,327
2020-08-10,330
2020-08-11,339
2020-08-12,348
2020-08-13,355
2020-08-14,363
2020-08-15,365
2020-08-17,367
2020-08-19,373
2020-08-20,376
2020-08-21,380
2020-08-22,381
2020-08-23,382
2020-08-24,389
2020-08-25,394
2020-08-26,398
2020-08-27,402
2020-08-28,407
2020-08-29,409
2020-08-30,410
2020-08-31,411
2020-09-01,413
2020-09-02,416
2020-09-03,419
2020-09-04,424
2020-09-05,426
2020-09-06,430
2020-09-07,435
2020-09-09,439
2020-09-10,444
2020-09-11,449
2020-09-12,450
2020-09-13,451
2020-09-14,455
2020-09-15,457
2020-09-16,461
2020-09-17,463
2020-09-18,467
2020-09-19,468
2020-09-20,470
2020-09-21,472
2020-09-22,474
2020-09-23,477
2020-09-24,480
2020-09-25,482
2020-09-26,484
2020-09-27,485
2020-09-28,488
2020-09-29,490
2020-09-30,491
2020-10-01,493
2020-10-02,497
2020-10-03,501
2020-10-04,503
2020-10-05,507
2020-10-06,510
2020-10-07,511
2020-10-08,513
2020-10-09,516
2020-10-10,517
2020-10-11,518
2020-10-13,522
2020-10-15,527
2020-10-18,530
2020-10-20,534
2020-10-21,536
2020-10-22,538
2020-10-23,541
2020-10-24,542
2020-10-25,548
2020-10-26,553
2020-10-27,554
2020-10-28,555
2020-10-29,557
2020-10-30,562
2020-10-31,563
2020-11-02,564
2020-11-03,569
2020-11-04,571
2020-11-05,574
2020-11-06,575
2020-11-07,576
2020-11-08,577
2020-11-09,581
2020-11-10,585
2020-11-12,589
2020-11-13,591
2020-11-17,594
2020-11-18,598
2020-11-19,602
2020-11-20,604
2020-11-21,608
2020-11-22,611
2020-11-23,617
2020-11-24,621
2020-11-25,629
2020-11-26,640
2020-11-27,643
2020-11-28,646
2020-11-29,647
2020-11-30,651
2020-12-01,657
2020-12-02,665
2020-12-03,673
2020-12-04,679
2020-12-05,683
2020-12-06,684
2020-12-07,694
2020-12-08,696
2020-12-09,701
2020-12-10,706
2020-12-11,707
2020-12-12,708
2020-12-14,719
2020-12-15,723
2020-12-16,730
2020-12-17,736
2020-12-18,746
2020-12-19,754
2020-12-20,757
2020-12-21,766
2020-12-22,773
2020-12-23,783
2020-12-24,791
2020-12-25,793
2020-12-26,798
2020-12-27,803
2020-12-28,814
2020-12-29,821
2020-12-30,830
2020-12-31,837
2021-01-02,842
2021-01-04,847
2021-01-05,851
