date,cases
2020-04-26,1
2020-05-07,2
2020-05-10,3
2020-05-15,4
2020-05-17,5
2020-07-01,7
2020-07-05,8
2020-07-06,9
2020-07-08,10
2020-07-13,15
2020-07-14,16
2020-07-16,19
2020-07-17,21
2020-07-19,24
2020-07-21,27
2020-07-22,29
2020-07-24,30
2020-07-25,31
2020-07-26,33
2020-07-28,36
2020-07-29,37
2020-07-31,45
2020-08-01,47
2020-08-02,48
2020-08-03,53
2020-08-04,54
2020-08-05,56
2020-08-06,59
2020-08-07,73
2020-08-08,75
2020-08-09,77
2020-08-10,78
2020-08-11,79
2020-08-12,85
2020-08-13,89
2020-08-14,91
2020-08-15,102
2020-08-16,103
2020-08-17,105
2020-08-18,111
2020-08-19,116
2020-08-20,135
2020-08-21,158
2020-08-22,175
2020-08-23,196
2020-08-24,198
2020-08-25,213
2020-08-26,215
2020-08-27,216
2020-08-28,222
2020-08-29,224
2020-08-30,226
2020-08-31,231
2020-09-01,238
2020-09-03,242
2020-09-04,254
2020-09-05,258
2020-09-06,260
2020-09-07,263
2020-09-08,269
2020-09-09,274
2020-09-10,279
2020-09-11,280
2020-09-12,287
2020-09-13,291
2020-09-14,301
2020-09-15,311
2020-09-17,313
2020-09-18,317
2020-09-19,333
2020-09-21,340
2020-09-22,341
2020-09-23,342
2020-09-24,362
2020-09-25,364
2020-09-26,365
2020-09-27,367
2020-09-28,376
2020-09-29,384
2020-09-30,395
2020-10-02,410
2020-10-03,414
2020-10-04,416
2020-10-08,417
2020-10-09,421
2020-10-10,425
2020-10-12,429
2020-10-13,431
2020-10-14,433
2020-10-15,436
2020-10-17,441
2020-10-19,443
2020-10-20,445
2020-10-21,447
2020-10-25,449
2020-10-27,452
2020-10-28,453
2020-10-29,455
2020-10-30,459
2020-10-31,461
2020-11-01,462
2020-11-02,463
2020-11-03,464
2020-11-07,465
2020-11-08,466
2020-11-09,467
2020-11-10,468
2020-11-13,470
2020-11-14,471
2020-11-17,473
2020-11-18,474
2020-11-19,476
2020-11-20,477
2020-11-21,478
