date,cases
2020-04-20,1
2020-05-25,3
2020-05-27,5
2020-05-28,6
2020-05-29,7
2020-05-30,9
2020-05-31,13
2020-06-01,14
2020-06-02,20
2020-06-03,21
2020-06-04,28
2020-06-05,29
2020-06-06,31
2020-06-09,35
2020-06-10,39
2020-06-11,40
2020-06-13,41
2020-06-15,43
2020-06-16,48
2020-06-17,50
2020-06-18,52
2020-06-19,53
2020-06-20,60
2020-06-21,62
2020-06-23,63
2020-06-24,65
2020-06-25,66
2020-06-26,67
2020-06-29,68
2020-06-30,69
2020-07-01,70
2020-07-05,73
2020-07-06,74
2020-07-07,78
2020-07-08,81
2020-07-09,84
2020-07-10,89
2020-07-11,99
2020-07-12,101
2020-07-13,108
2020-07-14,118
2020-07-15,130
2020-07-16,134
2020-07-17,139
2020-07-18,144
2020-07-19,145
2020-07-20,149
2020-07-21,155
2020-07-22,166
2020-07-23,186
2020-07-24,190
2020-07-25,197
2020-07-26,212
2020-07-27,224
2020-07-28,231
2020-07-29,238
2020-07-30,242
2020-07-31,252
2020-08-01,258
2020-08-02,273
2020-08-03,293
2020-08-04,319
2020-08-05,327
2020-08-06,337
2020-08-07,343
2020-08-08,400
2020-08-09,404
2020-08-10,417
2020-08-11,432
2020-08-12,444
2020-08-13,456
2020-08-14,471
2020-08-15,484
2020-08-16,490
2020-08-17,494
2020-08-18,509
2020-08-19,522
2020-08-20,547
2020-08-21,552
2020-08-22,558
2020-08-23,569
2020-08-24,576
2020-08-25,596
2020-08-26,606
2020-08-27,607
2020-08-28,615
2020-08-29,627
2020-08-30,638
2020-08-31,652
2020-09-01,688
2020-09-02,712
2020-09-03,720
2020-09-04,733
2020-09-05,742
2020-09-06,747
2020-09-07,767
2020-09-08,784
2020-09-09,789
2020-09-10,802
2020-09-11,810
2020-09-12,823
2020-09-13,830
2020-09-14,855
2020-09-15,875
2020-09-16,896
2020-09-17,917
2020-09-18,942
2020-09-19,953
2020-09-20,975
2020-09-21,995
2020-09-22,1015
2020-09-23,1044
2020-09-24,1067
2020-09-25,1098
2020-09-26,1135
2020-09-27,1157
2020-09-28,1187
2020-09-29,1209
2020-09-30,1230
2020-10-01,1239
2020-10-02,1279
2020-10-03,1305
2020-10-04,1331
2020-10-05,1358
2020-10-06,1390
2020-10-07,1423
2020-10-08,1478
2020-10-09,1500
2020-10-10,1531
2020-10-11,1544
2020-10-12,1552
2020-10-13,1620
2020-10-14,1643
2020-10-15,1670
2020-10-16,1693
2020-10-17,1702
2020-10-18,1719
2020-10-19,1759
2020-10-20,1794
2020-10-21,1808
2020-10-22,1828
2020-10-23,1853
2020-10-24,1873
2020-10-25,1893
2020-10-26,1914
2020-10-27,1930
2020-10-28,1936
2020-10-29,1946
2020-10-30,1960
2020-10-31,1971
2020-11-01,1978
2020-11-02,1980
2020-11-03,1983
2020-11-04,1986
2020-11-05,1988
2020-11-06,2003
2020-11-07,2016
2020-11-08,2030
2020-11-09,2038
2020-11-10,2046
2020-11-11,2049
2020-11-12,2057
2020-11-13,2072
2020-11-14,2086
2020-11-15,2094
2020-11-16,2116
2020-11-17,2122
2020-11-18,2129
2020-11-19,2141
2020-11-20,2151
2020-11-21,2158
2020-11-22,2165
2020-11-23,2190
2020-11-24,2200
2020-11-25,2208
2020-11-26,2214
2020-11-27,2216
2020-11-28,2219
2020-11-30,2226
2020-12-01,2227
2020-12-02,2231
2020-12-03,2236
2020-12-04,2239
2020-12-07,2241
