date,cases
2020-07-07,2
2020-07-10,3
2020-07-12,7
2020-07-16,9
2020-07-17,11
2020-07-18,12
2020-07-19,15
2020-07-21,17
2020-07-23,20
2020-07-24,23
2020-07-27,25
2020-07-30,28
2020-07-31,30
2020-08-01,31
2020-08-02,32
2020-08-03,33
2020-08-04,35
2020-08-05,40
2020-08-08,41
2020-08-10,42
2020-08-11,43
2020-08-14,50
2020-08-16,55
2020-08-18,56
2020-08-20,57
2020-08-21,60
2020-08-24,63
2020-08-25,64
2020-08-26,65
2020-08-27,68
2020-08-28,70
2020-08-29,71
2020-08-31,75
2020-09-03,76
2020-09-09,77
2020-09-11,78
2020-09-14,79
2020-09-15,80
2020-09-16,81
2020-09-19,86
2020-09-20,93
2020-09-22,94
2020-09-29,95
2020-09-30,96
2020-10-01,97
2020-10-02,98
2020-10-03,99
2020-10-06,100
2020-10-13,101
2020-10-14,102
2020-10-15,103
2020-10-16,104
2020-10-20,106
2020-10-21,107
2020-10-23,108
2020-10-24,109
2020-10-25,110
2020-10-26,114
2020-10-27,115
2020-10-29,116
2020-11-01,117
2020-11-04,118
2020-11-09,119
2020-11-11,122
2020-11-12,123
2020-11-13,125
2020-11-17,126
2020-11-18,127
2020-11-22,128
2020-11-23,130
2020-11-24,131
2020-11-25,133
2020-12-08,135
2020-12-14,136
2020-12-17,138
2020-12-18,139
2020-12-26,140
2020-12-28,141
2020-12-29,142
2021-01-03,143
2021-01-04,145
