date,cases
2020-03-10,1
2020-03-14,3
2020-03-17,4
2020-03-18,7
2020-03-19,9
2020-03-20,10
2020-03-21,11
2020-03-23,12
2020-03-24,14
2020-03-25,15
2020-03-26,18
2020-03-27,20
2020-03-28,21
2020-03-29,22
2020-03-30,25
2020-04-02,26
2020-04-03,27
2020-04-04,31
2020-04-07,32
2020-04-10,33
2020-04-12,37
2020-04-13,38
2020-04-15,39
2020-04-18,41
2020-04-24,42
2020-04-26,43
2020-04-27,44
2020-04-28,45
2020-04-29,46
2020-05-02,47
2020-05-07,50
2020-05-08,51
2020-05-12,52
2020-05-14,53
2020-05-15,54
2020-05-18,55
2020-05-19,56
2020-05-21,57
2020-05-22,58
2020-05-23,59
2020-05-25,60
2020-05-26,62
2020-05-27,64
2020-05-28,68
2020-05-29,70
2020-05-30,72
2020-05-31,74
2020-06-01,77
2020-06-02,80
2020-06-03,84
2020-06-04,86
2020-06-05,88
2020-06-06,89
2020-06-07,92
2020-06-08,97
2020-06-09,99
2020-06-10,101
2020-06-11,103
2020-06-12,110
2020-06-13,112
2020-06-14,113
2020-06-16,117
2020-06-17,121
2020-06-18,130
2020-06-19,137
2020-06-20,139
2020-06-22,141
2020-06-23,149
2020-06-24,154
2020-06-25,163
2020-06-26,170
2020-06-27,182
2020-06-28,192
2020-06-29,194
2020-06-30,197
2020-07-01,214
2020-07-02,228
2020-07-03,242
2020-07-04,252
2020-07-05,257
2020-07-06,270
2020-07-07,294
2020-07-08,316
2020-07-09,325
2020-07-10,376
2020-07-11,382
2020-07-12,393
2020-07-13,427
2020-07-14,445
2020-07-15,459
2020-07-16,476
2020-07-17,493
2020-07-18,508
2020-07-19,516
2020-07-20,528
2020-07-21,553
2020-07-22,578
2020-07-23,608
2020-07-24,633
2020-07-25,642
2020-07-26,649
2020-07-27,681
2020-07-28,709
2020-07-29,742
2020-07-30,772
2020-07-31,826
2020-08-01,851
2020-08-02,880
2020-08-03,916
2020-08-04,949
2020-08-05,971
2020-08-06,1024
2020-08-07,1046
2020-08-08,1062
2020-08-09,1071
2020-08-10,1092
2020-08-11,1112
2020-08-12,1131
2020-08-13,1165
2020-08-14,1192
2020-08-15,1214
2020-08-16,1217
2020-08-17,1235
2020-08-18,1282
2020-08-19,1313
2020-08-20,1339
2020-08-21,1363
2020-08-22,1374
2020-08-23,1382
2020-08-24,1450
2020-08-25,1473
2020-08-26,1488
2020-08-27,1521
2020-08-28,1541
2020-08-29,1550
2020-08-30,1563
2020-08-31,1596
2020-09-01,1608
2020-09-02,1631
2020-09-03,1652
2020-09-04,1683
2020-09-05,1698
2020-09-06,1716
2020-09-07,1737
2020-09-08,1771
2020-09-09,1804
2020-09-10,1833
2020-09-11,1856
2020-09-12,1874
2020-09-13,1897
2020-09-14,1936
2020-09-15,1971
2020-09-16,1988
2020-09-17,2029
2020-09-18,2065
2020-09-19,2081
2020-09-20,2092
2020-09-21,2126
2020-09-22,2169
2020-09-23,2206
2020-09-24,2245
2020-09-25,2255
2020-09-26,2266
2020-09-27,2277
2020-09-28,2320
2020-09-29,2351
2020-09-30,2388
2020-10-01,2431
2020-10-02,2455
2020-10-03,2466
2020-10-04,2483
2020-10-05,2523
2020-10-06,2566
2020-10-07,2599
2020-10-08,2641
2020-10-09,2685
2020-10-10,2713
2020-10-11,2735
2020-10-12,2750
2020-10-13,2782
2020-10-14,2814
2020-10-15,2856
2020-10-16,2885
2020-10-17,2904
2020-10-18,2921
2020-10-19,2953
2020-10-20,3024
2020-10-21,3050
2020-10-22,3094
2020-10-23,3129
2020-10-24,3155
2020-10-25,3176
2020-10-26,3216
2020-10-27,3262
2020-10-28,3294
2020-10-29,3334
2020-10-30,3353
2020-10-31,3373
2020-11-01,3394
2020-11-02,3414
2020-11-03,3459
2020-11-04,3498
2020-11-05,3532
2020-11-06,3592
2020-11-07,3614
2020-11-08,3641
2020-11-09,3701
2020-11-10,3743
2020-11-11,3778
2020-11-12,3811
2020-11-13,3842
2020-11-14,3850
2020-11-15,3858
2020-11-16,3869
2020-11-17,3899
2020-11-18,3946
2020-11-19,3990
2020-11-20,4058
2020-11-21,4089
2020-11-22,4102
2020-11-23,4128
2020-11-24,4137
2020-11-25,4139
