date,cases
2020-03-20,1
2020-03-26,2
2020-03-27,3
2020-04-01,4
2020-04-02,7
2020-04-04,8
2020-04-09,10
2020-04-13,11
2020-04-14,12
2020-04-15,13
2020-04-19,14
2020-04-23,15
2020-04-28,18
2020-05-02,19
2020-05-07,20
2020-05-08,22
2020-05-14,23
2020-05-18,24
2020-05-20,25
2020-05-26,26
2020-05-28,27
2020-06-01,28
2020-06-06,29
2020-06-08,30
2020-06-09,32
2020-06-10,33
2020-06-11,35
2020-06-12,36
2020-06-16,38
2020-06-17,42
2020-06-18,43
2020-06-19,44
2020-06-22,45
2020-06-23,47
2020-06-25,48
2020-06-26,50
2020-06-29,51
2020-06-30,53
2020-07-01,54
2020-07-03,58
2020-07-04,64
2020-07-06,71
2020-07-07,74
2020-07-08,80
2020-07-09,86
2020-07-10,87
2020-07-11,91
2020-07-12,92
2020-07-14,95
2020-07-15,100
2020-07-16,108
2020-07-17,122
2020-07-18,131
2020-07-19,138
2020-07-20,145
2020-07-21,157
2020-07-22,167
2020-07-23,175
2020-07-24,187
2020-07-25,195
2020-07-26,205
2020-07-27,224
2020-07-28,231
2020-07-29,252
2020-07-30,259
2020-07-31,263
2020-08-01,278
2020-08-02,288
2020-08-03,304
2020-08-04,312
2020-08-05,327
2020-08-06,340
2020-08-07,362
2020-08-08,370
2020-08-09,376
2020-08-10,392
2020-08-11,415
2020-08-12,427
2020-08-13,442
2020-08-14,448
2020-08-15,462
2020-08-16,471
2020-08-17,478
2020-08-18,490
2020-08-19,498
2020-08-20,525
2020-08-21,549
2020-08-22,566
2020-08-23,578
2020-08-24,628
2020-08-25,637
2020-08-26,655
2020-08-27,685
2020-08-28,702
2020-08-29,720
2020-08-30,731
2020-08-31,747
2020-09-01,767
2020-09-02,805
2020-09-03,827
2020-09-04,867
2020-09-05,901
2020-09-06,911
2020-09-07,956
2020-09-08,976
2020-09-09,1006
2020-09-10,1023
2020-09-11,1052
2020-09-12,1090
2020-09-13,1132
2020-09-14,1173
2020-09-15,1199
2020-09-16,1227
2020-09-17,1244
2020-09-18,1266
2020-09-19,1289
2020-09-20,1305
2020-09-21,1342
2020-09-22,1387
2020-09-23,1414
2020-09-24,1447
2020-09-25,1472
2020-09-26,1510
2020-09-27,1530
2020-09-28,1595
2020-09-29,1657
2020-09-30,1710
2020-10-01,1774
2020-10-02,1837
2020-10-03,1873
2020-10-04,1909
2020-10-05,2012
2020-10-06,2086
2020-10-07,2158
2020-10-08,2233
2020-10-09,2287
2020-10-10,2359
2020-10-11,2382
2020-10-12,2408
2020-10-13,2489
2020-10-14,2553
2020-10-15,2648
2020-10-16,2689
2020-10-17,2724
2020-10-18,2761
2020-10-19,2855
2020-10-20,2941
2020-10-21,3002
2020-10-22,3121
2020-10-23,3185
2020-10-24,3223
2020-10-25,3266
2020-10-26,3347
2020-10-27,3426
2020-10-28,3472
2020-10-29,3528
2020-10-30,3566
2020-10-31,3591
2020-11-01,3602
2020-11-02,3623
2020-11-03,3687
2020-11-04,3728
2020-11-05,3771
2020-11-06,3840
2020-11-07,3865
2020-11-08,3903
2020-11-09,3966
2020-11-10,3996
2020-11-11,4062
2020-11-12,4293
2020-11-13,4319
2020-11-14,4340
2020-11-15,4416
2020-11-16,4427
2020-11-17,4454
2020-11-18,4494
2020-11-19,4672
2020-11-20,4718
2020-11-21,4733
2020-11-22,4741
2020-11-23,4809
2020-11-24,4845
2020-11-25,4892
2020-11-26,4980
2020-11-27,5055
2020-11-28,5087
2020-11-29,5096
2020-11-30,5140
2020-12-01,5166
2020-12-02,5189
2020-12-03,5221
2020-12-04,5250
2020-12-05,5268
2020-12-06,5280
2020-12-07,5299
2020-12-08,5322
2020-12-09,5362
2020-12-10,5410
2020-12-11,5453
2020-12-12,5477
2020-12-13,5489
2020-12-14,5518
2020-12-15,5555
2020-12-16,5586
2020-12-17,5606
2020-12-18,5648
2020-12-19,5662
2020-12-20,5673
2020-12-21,5694
2020-12-22,5698
