date,cases
2020-06-02,1
2020-06-04,3
2020-06-05,4
2020-06-06,7
2020-06-08,31
2020-06-09,34
2020-06-10,36
2020-06-13,37
2020-06-23,38
2020-06-24,39
2020-06-25,41
2020-06-26,42
2020-07-02,45
2020-07-07,46
2020-07-09,61
2020-07-11,62
2020-07-12,63
2020-07-13,65
2020-07-14,68
2020-07-16,78
2020-07-17,79
2020-07-18,83
2020-07-19,93
2020-07-21,96
2020-07-22,100
2020-07-23,107
2020-07-24,111
2020-07-25,112
2020-07-26,113
2020-07-27,114
2020-07-28,123
2020-07-29,130
2020-07-30,150
2020-07-31,154
2020-08-01,155
2020-08-03,158
2020-08-04,164
2020-08-05,175
2020-08-06,192
2020-08-07,201
2020-08-08,204
2020-08-10,205
2020-08-11,211
2020-08-12,217
2020-08-13,220
2020-08-14,223
2020-08-15,225
2020-08-18,240
2020-08-19,252
2020-08-20,253
2020-08-21,263
2020-08-22,275
2020-08-23,280
2020-08-24,291
2020-08-25,300
2020-08-26,310
2020-08-27,319
2020-08-28,338
2020-08-29,362
2020-08-30,372
2020-08-31,378
2020-09-01,386
2020-09-02,409
2020-09-03,415
2020-09-04,426
2020-09-05,452
2020-09-06,459
2020-09-07,500
2020-09-08,522
2020-09-09,538
2020-09-10,554
2020-09-11,570
2020-09-12,579
2020-09-13,588
2020-09-14,604
2020-09-15,619
2020-09-16,633
2020-09-17,645
2020-09-18,661
2020-09-19,671
2020-09-20,676
2020-09-21,710
2020-09-22,726
2020-09-23,742
2020-09-24,800
2020-09-25,816
2020-09-26,837
2020-09-27,847
2020-09-28,883
2020-09-29,907
2020-09-30,925
2020-10-01,939
2020-10-02,955
2020-10-03,969
2020-10-04,979
2020-10-05,1008
2020-10-06,1020
2020-10-07,1032
2020-10-08,1044
2020-10-09,1066
2020-10-10,1081
2020-10-11,1083
2020-10-12,1088
2020-10-13,1109
2020-10-14,1146
2020-10-15,1161
2020-10-16,1172
2020-10-17,1177
2020-10-18,1180
2020-10-19,1203
2020-10-20,1255
2020-10-21,1267
2020-10-22,1276
2020-10-23,1302
2020-10-24,1309
2020-10-25,1313
2020-10-26,1333
2020-10-27,1373
2020-10-28,1396
2020-10-29,1419
2020-10-30,1443
2020-10-31,1454
2020-11-01,1457
2020-11-02,1458
2020-11-03,1466
2020-11-04,1484
2020-11-05,1493
2020-11-06,1505
2020-11-07,1507
2020-11-08,1513
2020-11-09,1533
2020-11-10,1541
2020-11-11,1550
2020-11-12,1558
2020-11-13,1571
2020-11-14,1574
2020-11-15,1584
2020-11-16,1594
2020-11-17,1607
2020-11-18,1620
2020-11-19,1627
2020-11-20,1628
2020-11-21,1631
2020-11-22,1634
2020-11-23,1639
2020-11-24,1647
2020-11-25,1649
2020-11-26,1654
2020-11-27,1656
2020-11-28,1657
2020-11-30,1658
2020-12-01,1660
2020-12-03,1661
2020-12-07,1662
