date,cases
2020-06-07,1
2020-06-08,3
2020-06-10,4
2020-06-11,7
2020-06-13,10
2020-06-14,11
2020-06-18,14
2020-06-19,17
2020-06-20,20
2020-06-21,21
2020-06-22,22
2020-06-23,23
2020-06-24,28
2020-06-25,32
2020-06-27,36
2020-07-04,38
2020-07-06,40
2020-07-07,43
2020-07-10,45
2020-07-12,46
2020-07-15,47
2020-07-16,51
2020-07-17,52
2020-07-18,53
2020-07-20,54
2020-07-21,56
2020-07-22,59
2020-07-23,64
2020-07-24,65
2020-07-26,66
2020-07-27,68
2020-07-28,69
2020-07-30,71
2020-07-31,77
2020-08-01,99
2020-08-03,101
2020-08-05,104
2020-08-06,111
2020-08-07,112
2020-08-08,117
2020-08-09,119
2020-08-10,120
2020-08-11,128
2020-08-12,129
2020-08-13,142
2020-08-14,145
2020-08-18,147
2020-08-19,158
2020-08-22,159
2020-08-24,170
2020-08-26,173
2020-08-29,174
2020-09-03,176
2020-09-05,178
2020-09-07,179
2020-09-08,181
2020-09-10,182
2020-09-11,184
2020-09-13,185
2020-09-14,186
2020-09-17,192
2020-09-18,194
2020-09-19,195
2020-09-21,196
2020-09-22,199
2020-09-23,200
2020-09-25,201
2020-09-28,205
2020-09-29,209
2020-09-30,210
2020-10-02,211
2020-10-06,217
2020-10-09,218
2020-10-13,219
2020-10-14,220
2020-10-15,222
2020-10-17,225
2020-10-20,226
2020-10-22,242
2020-10-24,243
2020-10-25,244
2020-10-28,248
2020-10-29,249
2020-11-03,251
2020-11-08,252
2020-11-09,254
2020-11-11,255
2020-11-19,256
