date,cases
2020-04-14,1
2020-04-30,2
2020-05-02,6
2020-05-03,7
2020-05-04,8
2020-05-05,9
2020-05-06,14
2020-05-07,15
2020-05-08,19
2020-05-09,31
2020-05-12,35
2020-05-14,36
2020-05-15,39
2020-05-21,45
2020-05-22,46
2020-05-24,48
2020-05-26,50
2020-05-29,52
2020-05-31,56
2020-06-01,59
2020-06-02,61
2020-06-03,65
2020-06-04,66
2020-06-05,67
2020-06-06,69
2020-06-07,73
2020-06-08,79
2020-06-09,85
2020-06-10,86
2020-06-11,92
2020-06-12,98
2020-06-13,99
2020-06-14,103
2020-06-16,105
2020-06-17,112
2020-06-18,120
2020-06-19,124
2020-06-20,130
2020-06-21,134
2020-06-22,136
2020-06-23,143
2020-06-24,146
2020-06-25,157
2020-06-26,161
2020-06-27,165
2020-06-28,166
2020-06-29,169
2020-06-30,173
2020-07-01,175
2020-07-02,181
2020-07-03,194
2020-07-04,217
2020-07-05,219
2020-07-06,225
2020-07-07,231
2020-07-08,241
2020-07-09,254
2020-07-10,259
2020-07-11,266
2020-07-12,268
2020-07-13,269
2020-07-14,280
2020-07-15,283
2020-07-17,290
2020-07-18,301
2020-07-20,302
2020-07-21,308
2020-07-22,310
2020-07-23,322
2020-07-24,327
2020-07-25,330
2020-07-26,335
2020-07-27,365
2020-07-28,368
2020-07-29,385
2020-07-30,386
2020-07-31,400
2020-08-01,412
2020-08-02,418
2020-08-03,431
2020-08-04,433
2020-08-05,439
2020-08-06,447
2020-08-07,458
2020-08-08,461
2020-08-10,465
2020-08-11,473
2020-08-12,477
2020-08-14,481
2020-08-15,482
2020-08-16,484
2020-08-18,487
2020-08-19,489
2020-08-20,494
2020-08-21,495
2020-08-26,496
2020-08-27,497
2020-08-29,498
2020-08-30,499
2020-08-31,501
2020-09-01,502
2020-09-03,504
2020-09-08,505
2020-09-09,509
2020-09-10,510
2020-09-15,511
2020-09-19,512
2020-09-20,513
2020-09-21,514
2020-09-22,516
2020-09-27,517
2020-09-28,518
2020-09-29,519
2020-10-01,520
2020-10-02,521
2020-10-03,522
2020-10-06,523
2020-10-08,527
2020-10-10,529
2020-10-13,531
2020-10-15,541
2020-10-16,542
2020-10-19,543
2020-10-20,544
2020-10-21,545
2020-10-23,546
2020-10-25,547
2020-10-29,548
