date,cases
2020-03-12,1
2020-03-18,2
2020-03-21,3
2020-03-24,4
2020-03-25,5
2020-04-03,6
2020-04-04,7
2020-04-06,8
2020-04-09,9
2020-04-13,10
2020-04-14,12
2020-04-22,13
2020-04-23,14
2020-04-24,15
2020-04-28,20
2020-05-02,23
2020-05-03,24
2020-05-05,25
2020-05-07,26
2020-05-08,27
2020-05-09,30
2020-05-10,32
2020-05-12,34
2020-05-15,39
2020-05-20,40
2020-05-21,43
2020-05-22,45
2020-05-23,47
2020-05-26,50
2020-05-27,54
2020-05-28,55
2020-05-29,62
2020-06-01,65
2020-06-02,71
2020-06-03,72
2020-06-04,73
2020-06-05,78
2020-06-06,81
2020-06-08,83
2020-06-09,84
2020-06-10,89
2020-06-11,95
2020-06-12,103
2020-06-13,105
2020-06-16,107
2020-06-17,111
2020-06-18,112
2020-06-19,115
2020-06-23,121
2020-06-24,122
2020-06-25,124
2020-06-26,129
2020-06-27,130
2020-06-28,131
2020-06-29,135
2020-06-30,137
2020-07-01,145
2020-07-02,148
2020-07-03,149
2020-07-06,150
2020-07-07,155
2020-07-08,174
2020-07-09,186
2020-07-10,203
2020-07-11,209
2020-07-12,210
2020-07-13,237
2020-07-14,265
2020-07-15,285
2020-07-16,316
2020-07-17,348
2020-07-18,363
2020-07-19,371
2020-07-20,382
2020-07-21,421
2020-07-22,445
2020-07-23,457
2020-07-24,496
2020-07-25,517
2020-07-26,528
2020-07-27,537
2020-07-28,561
2020-07-29,595
2020-07-30,623
2020-07-31,667
2020-08-01,683
2020-08-02,705
2020-08-03,723
2020-08-04,741
2020-08-05,762
2020-08-06,787
2020-08-07,825
2020-08-08,846
2020-08-09,869
2020-08-10,900
2020-08-11,935
2020-08-12,954
2020-08-13,981
2020-08-14,1033
2020-08-15,1047
2020-08-16,1102
2020-08-17,1120
2020-08-18,1166
2020-08-19,1206
2020-08-20,1251
2020-08-21,1322
2020-08-22,1357
2020-08-23,1384
2020-08-24,1465
2020-08-25,1506
2020-08-26,1552
2020-08-27,1607
2020-08-28,1647
2020-08-29,1672
2020-08-30,1705
2020-08-31,1757
2020-09-01,1824
2020-09-02,1846
2020-09-03,1914
2020-09-04,2001
2020-09-05,2033
2020-09-06,2066
2020-09-07,2140
2020-09-08,2195
2020-09-09,2260
2020-09-10,2315
2020-09-11,2403
2020-09-12,2460
2020-09-13,2516
2020-09-14,2612
2020-09-15,2717
2020-09-16,2787
2020-09-17,2832
2020-09-18,2888
2020-09-19,2930
2020-09-20,2967
2020-09-21,3104
2020-09-22,3183
2020-09-23,3276
2020-09-24,3337
2020-09-25,3390
2020-09-26,3474
2020-09-27,3559
2020-09-28,3730
2020-09-29,3830
2020-09-30,4029
2020-10-01,4171
2020-10-02,4370
2020-10-03,4491
2020-10-04,4611
2020-10-05,4792
2020-10-06,4977
2020-10-07,5159
2020-10-08,5350
2020-10-09,5501
2020-10-10,5680
2020-10-11,5783
2020-10-12,5917
2020-10-13,6164
2020-10-14,6372
2020-10-15,6624
2020-10-16,6882
2020-10-17,7183
2020-10-18,7443
2020-10-19,7769
2020-10-20,8262
2020-10-21,8620
2020-10-22,9024
2020-10-23,9418
2020-10-24,9712
2020-10-25,9950
2020-10-26,10405
2020-10-27,10787
2020-10-28,11106
2020-10-29,11382
2020-10-30,11713
2020-10-31,11945
2020-11-01,12091
2020-11-02,12261
2020-11-03,12532
2020-11-04,12880
2020-11-05,13136
2020-11-06,13502
2020-11-07,13692
2020-11-08,13847
2020-11-09,14145
2020-11-10,14390
2020-11-11,14679
2020-11-12,14927
2020-11-13,15172
2020-11-14,15363
2020-11-15,15525
2020-11-16,15715
2020-11-17,15962
2020-11-18,16189
2020-11-19,16493
2020-11-20,16837
2020-11-21,16985
2020-11-22,17067
2020-11-23,17318
2020-11-24,17553
2020-11-25,17741
2020-11-26,17923
2020-11-27,18065
2020-11-28,18174
2020-11-29,18211
2020-11-30,18343
2020-12-01,18489
2020-12-02,18632
2020-12-03,18771
2020-12-04,18908
2020-12-05,18982
2020-12-06,19030
2020-12-07,19159
2020-12-08,19195
2020-12-09,19367
2020-12-10,19536
2020-12-11,19712
2020-12-12,19825
2020-12-13,19869
2020-12-14,20012
2020-12-15,20127
2020-12-16,20198
2020-12-17,20216
