date,cases
2020-06-09,1
2020-06-14,3
2020-06-19,4
2020-06-20,10
2020-06-26,12
2020-06-28,13
2020-06-30,15
2020-07-01,17
2020-07-04,18
2020-07-06,19
2020-07-11,20
2020-07-13,21
2020-07-14,22
2020-07-17,23
2020-07-19,24
2020-07-23,26
2020-07-26,30
2020-07-27,33
2020-07-28,34
2020-07-29,35
2020-07-30,36
2020-08-01,41
2020-08-02,44
2020-08-03,49
2020-08-04,53
2020-08-05,61
2020-08-06,72
2020-08-07,75
2020-08-08,76
2020-08-09,77
2020-08-10,79
2020-08-11,83
2020-08-12,84
2020-08-13,85
2020-08-14,86
2020-08-15,94
2020-08-17,97
2020-08-18,103
2020-08-19,112
2020-08-20,115
2020-08-21,117
2020-08-22,120
2020-08-23,132
2020-08-24,139
2020-08-25,142
2020-08-26,151
2020-08-27,161
2020-08-28,167
2020-08-29,173
2020-08-31,177
2020-09-01,190
2020-09-02,202
2020-09-03,219
2020-09-04,230
2020-09-05,235
2020-09-06,239
2020-09-07,243
2020-09-08,251
2020-09-09,253
2020-09-10,258
2020-09-11,259
2020-09-12,265
2020-09-13,266
2020-09-14,293
2020-09-15,299
2020-09-16,300
2020-09-17,302
2020-09-18,303
2020-09-19,310
2020-09-20,311
2020-09-21,319
2020-09-22,320
2020-09-23,338
2020-09-24,339
2020-09-25,343
2020-09-26,346
2020-09-27,349
2020-09-28,356
2020-09-29,360
2020-09-30,363
2020-10-01,369
2020-10-02,373
2020-10-03,375
2020-10-04,377
2020-10-05,385
2020-10-06,389
2020-10-07,390
2020-10-08,398
2020-10-09,401
2020-10-10,404
2020-10-11,410
2020-10-12,427
2020-10-13,431
2020-10-14,439
2020-10-15,441
2020-10-16,446
2020-10-17,451
2020-10-19,464
2020-10-20,478
2020-10-21,480
2020-10-22,486
2020-10-23,491
2020-10-24,494
2020-10-25,495
2020-10-26,514
2020-10-27,516
2020-10-28,520
2020-10-29,525
2020-10-30,526
2020-10-31,528
2020-11-02,530
2020-11-03,532
2020-11-04,533
2020-11-05,535
2020-11-06,536
2020-11-07,540
2020-11-08,542
2020-11-09,546
2020-11-10,549
2020-11-11,552
2020-11-12,555
2020-11-13,563
2020-11-15,567
2020-11-16,572
2020-11-17,573
2020-11-18,580
2020-11-19,589
2020-11-20,594
2020-11-21,596
2020-11-22,601
2020-11-23,606
2020-11-24,615
2020-11-25,617
2020-11-26,622
2020-11-27,628
2020-11-28,633
2020-11-30,641
2020-12-01,651
2020-12-02,655
2020-12-03,659
2020-12-04,665
2020-12-05,669
2020-12-06,671
2020-12-07,672
2020-12-10,677
2020-12-11,683
2020-12-12,686
2020-12-13,688
2020-12-14,693
2020-12-15,696
2020-12-16,697
2020-12-17,700
2020-12-18,702
2020-12-21,704
2020-12-22,705
2020-12-24,707
