date,cases
2020-03-15,1
2020-03-18,2
2020-03-19,4
2020-03-20,6
2020-03-21,8
2020-03-22,9
2020-03-25,10
2020-03-27,12
2020-03-28,13
2020-03-29,15
2020-03-30,16
2020-03-31,18
2020-04-01,21
2020-04-02,22
2020-04-03,25
2020-04-04,28
2020-04-05,29
2020-04-06,30
2020-04-07,33
2020-04-08,34
2020-04-09,37
2020-04-10,38
2020-04-11,41
2020-04-12,45
2020-04-13,52
2020-04-14,54
2020-04-16,58
2020-04-17,62
2020-04-18,63
2020-04-19,66
2020-04-21,71
2020-04-22,74
2020-04-24,75
2020-04-25,76
2020-04-26,80
2020-04-27,83
2020-04-28,86
2020-04-29,87
2020-04-30,88
2020-05-01,89
2020-05-03,90
2020-05-04,92
2020-05-06,96
2020-05-07,98
2020-05-08,101
2020-05-09,104
2020-05-10,109
2020-05-11,115
2020-05-12,119
2020-05-13,125
2020-05-14,130
2020-05-15,136
2020-05-16,147
2020-05-17,167
2020-05-18,198
2020-05-19,214
2020-05-20,231
2020-05-21,262
2020-05-22,283
2020-05-23,290
2020-05-24,299
2020-05-25,305
2020-05-26,320
2020-05-27,338
2020-05-28,355
2020-05-29,372
2020-05-30,382
2020-05-31,389
2020-06-01,412
2020-06-02,434
2020-06-03,477
2020-06-04,500
2020-06-05,539
2020-06-06,557
2020-06-07,562
2020-06-08,592
2020-06-09,618
2020-06-10,657
2020-06-11,685
2020-06-12,717
2020-06-13,746
2020-06-14,753
2020-06-15,772
2020-06-16,802
2020-06-17,841
2020-06-18,879
2020-06-19,922
2020-06-20,955
2020-06-21,969
2020-06-22,985
2020-06-23,1048
2020-06-24,1093
2020-06-25,1151
2020-06-26,1204
2020-06-27,1257
2020-06-28,1301
2020-06-29,1329
2020-06-30,1418
2020-07-01,1529
2020-07-02,1592
2020-07-03,1687
2020-07-04,1762
2020-07-05,1797
2020-07-06,1891
2020-07-07,1990
2020-07-08,2072
2020-07-09,2197
2020-07-10,2281
2020-07-11,2371
2020-07-12,2425
2020-07-13,2540
2020-07-14,2631
2020-07-15,2748
2020-07-16,2882
2020-07-17,2988
2020-07-18,3087
2020-07-19,3135
2020-07-20,3201
2020-07-21,3322
2020-07-22,3411
2020-07-23,3532
2020-07-24,3668
2020-07-25,3780
2020-07-26,3866
2020-07-27,4044
2020-07-28,4170
2020-07-29,4360
2020-07-30,4577
2020-07-31,4724
2020-08-01,4842
2020-08-02,5006
2020-08-03,5218
2020-08-04,5355
2020-08-05,5549
2020-08-06,5787
2020-08-07,5959
2020-08-08,6136
2020-08-09,6211
2020-08-10,6453
2020-08-11,6624
2020-08-12,6803
2020-08-13,6959
2020-08-14,7126
2020-08-15,7231
2020-08-16,7370
2020-08-17,7462
2020-08-18,7587
2020-08-19,7708
2020-08-20,7807
2020-08-21,7920
2020-08-22,8030
2020-08-23,8129
2020-08-24,8281
2020-08-25,8420
2020-08-26,8520
2020-08-27,8662
2020-08-28,8771
2020-08-29,8832
2020-08-30,8887
2020-08-31,8966
2020-09-01,9034
2020-09-02,9131
2020-09-03,9210
2020-09-04,9311
2020-09-05,9374
2020-09-06,9406
2020-09-07,9536
2020-09-08,9625
2020-09-09,9702
2020-09-10,9762
2020-09-11,9847
2020-09-12,9903
2020-09-13,9956
2020-09-14,10030
2020-09-15,10093
2020-09-16,10136
2020-09-17,10171
2020-09-18,10219
2020-09-19,10274
2020-09-20,10328
2020-09-21,10406
2020-09-22,10482
2020-09-23,10559
2020-09-24,10607
2020-09-25,10662
2020-09-26,10734
2020-09-27,10765
2020-09-28,10827
2020-09-29,10871
2020-09-30,10929
2020-10-01,10966
2020-10-02,11017
2020-10-03,11061
2020-10-04,11103
2020-10-05,11175
2020-10-06,11249
2020-10-07,11303
2020-10-08,11390
2020-10-09,11455
2020-10-10,11497
2020-10-11,11528
2020-10-12,11561
2020-10-13,11619
2020-10-14,11669
2020-10-15,11728
2020-10-16,11788
2020-10-17,11836
2020-10-18,11888
2020-10-19,11995
2020-10-20,12093
2020-10-21,12158
2020-10-22,12214
2020-10-23,12288
2020-10-24,12350
2020-10-25,12386
2020-10-26,12447
2020-10-27,12513
2020-10-28,12589
2020-10-29,12625
2020-10-30,12705
2020-10-31,12749
2020-11-01,12785
2020-11-02,12836
2020-11-03,12911
2020-11-04,12961
2020-11-05,13015
2020-11-06,13069
2020-11-07,13131
2020-11-08,13167
2020-11-09,13244
2020-11-10,13303
2020-11-11,13349
2020-11-12,13419
2020-11-13,13470
2020-11-14,13509
2020-11-15,13569
2020-11-16,13607
2020-11-17,13648
2020-11-18,13711
2020-11-19,13786
2020-11-20,13874
2020-11-21,13917
2020-11-22,13949
2020-11-23,14027
2020-11-24,14075
2020-11-25,14120
2020-11-26,14181
2020-11-27,14264
2020-11-28,14304
2020-11-29,14331
2020-11-30,14442
2020-12-01,14501
2020-12-02,14545
2020-12-03,14608
2020-12-04,14665
2020-12-05,14711
2020-12-06,14759
2020-12-07,14833
2020-12-08,14872
2020-12-09,14960
2020-12-10,15067
2020-12-11,15142
2020-12-12,15176
2020-12-13,15202
2020-12-14,15266
2020-12-15,15308
2020-12-16,15347
2020-12-17,15382
2020-12-18,15402
2020-12-19,15419
2020-12-20,15432
2020-12-21,15437
2020-12-22,15441
