date,cases
2020-07-08,7
2020-07-13,8
2020-07-15,9
2020-07-16,11
2020-07-20,13
2020-07-25,15
2020-07-29,18
2020-07-30,19
2020-07-31,20
2020-08-02,21
2020-08-05,22
2020-08-24,24
2020-08-25,25
2020-08-29,26
2020-09-08,27
2020-09-09,28
2020-09-10,29
2020-09-11,30
2020-09-15,31
2020-09-17,33
2020-09-19,34
2020-09-21,35
2020-09-23,36
2020-10-03,39
2020-10-04,40
2020-10-10,41
2020-10-12,42
2020-10-13,43
2020-10-15,47
2020-10-16,49
2020-10-17,50
2020-10-19,52
2020-10-20,56
2020-10-21,57
2020-10-22,59
2020-10-23,63
2020-10-26,64
