date,cases
2020-03-02,1
2020-03-08,2
2020-03-09,3
2020-03-11,8
2020-03-12,13
2020-03-13,20
2020-03-14,26
2020-03-15,31
2020-03-16,40
2020-03-17,55
2020-03-18,68
2020-03-19,88
2020-03-20,115
2020-03-21,144
2020-03-22,170
2020-03-23,221
2020-03-24,291
2020-03-25,343
2020-03-26,411
2020-03-27,472
2020-03-28,524
2020-03-29,609
2020-03-30,695
2020-03-31,778
2020-04-01,886
2020-04-02,960
2020-04-03,1022
2020-04-04,1089
2020-04-05,1137
2020-04-06,1212
2020-04-07,1288
2020-04-08,1351
2020-04-09,1401
2020-04-10,1455
2020-04-11,1569
2020-04-12,1641
2020-04-13,1718
2020-04-14,1773
2020-04-15,1832
2020-04-16,1949
2020-04-17,2013
2020-04-18,2090
2020-04-19,2189
2020-04-20,2280
2020-04-21,2350
2020-04-22,2437
2020-04-23,2593
2020-04-24,2681
2020-04-25,2756
2020-04-26,2827
2020-04-27,2957
2020-04-28,3059
2020-04-29,3200
2020-04-30,3325
2020-05-01,3446
2020-05-02,3541
2020-05-03,3625
2020-05-04,3730
2020-05-05,3867
2020-05-06,4035
2020-05-07,4192
2020-05-08,4381
2020-05-09,4585
2020-05-10,4727
2020-05-11,4898
2020-05-12,5121
2020-05-13,5400
2020-05-14,5620
2020-05-15,5847
2020-05-16,6055
2020-05-17,6307
2020-05-18,6680
2020-05-19,7099
2020-05-20,7473
2020-05-21,7735
2020-05-22,8125
2020-05-23,8439
2020-05-24,8720
2020-05-25,9076
2020-05-26,9505
2020-05-27,9864
2020-05-28,10223
2020-05-29,10624
2020-05-30,10976
2020-05-31,11337
2020-06-01,11814
2020-06-02,12265
2020-06-03,12676
2020-06-04,13147
2020-06-05,13722
2020-06-06,14271
2020-06-07,14743
2020-06-08,15365
2020-06-09,15928
2020-06-10,16801
2020-06-11,17733
2020-06-12,18564
2020-06-13,19156
2020-06-14,19675
2020-06-15,20250
2020-06-16,21203
2020-06-17,22402
2020-06-18,23592
2020-06-19,24778
2020-06-20,25731
2020-06-21,26728
2020-06-22,27699
2020-06-23,28939
2020-06-24,30431
2020-06-25,32037
2020-06-26,33670
2020-06-27,35527
2020-06-28,36886
2020-06-29,38275
2020-06-30,40224
2020-07-01,42326
2020-07-02,44576
2020-07-03,46831
2020-07-04,48932
2020-07-05,50348
2020-07-06,52716
2020-07-07,54919
2020-07-08,57312
2020-07-09,59428
2020-07-10,61806
2020-07-11,63692
2020-07-12,65583
2020-07-13,68457
2020-07-14,71599
2020-07-15,74517
2020-07-16,77505
2020-07-17,80868
2020-07-18,84273
2020-07-19,87025
2020-07-20,89447
2020-07-21,93318
2020-07-22,97125
2020-07-23,100597
2020-07-24,104208
2020-07-25,107177
2020-07-26,109453
2020-07-27,113562
2020-07-28,117235
2020-07-29,121263
2020-07-30,124771
2020-07-31,128106
2020-08-01,131133
2020-08-02,133514
2020-08-03,136977
2020-08-04,140365
2020-08-05,143962
2020-08-06,147626
2020-08-07,150125
2020-08-08,152984
2020-08-09,155112
2020-08-10,158431
2020-08-11,161856
2020-08-12,165740
2020-08-13,169433
2020-08-14,172897
2020-08-15,175496
2020-08-16,177414
2020-08-17,179278
2020-08-18,182300
2020-08-19,185480
2020-08-20,188185
2020-08-21,190773
2020-08-22,192628
2020-08-23,193872
2020-08-24,195875
2020-08-25,198488
2020-08-26,205205
2020-08-27,207614
2020-08-28,209928
2020-08-29,211965
2020-08-30,213629
2020-08-31,215993
2020-09-01,218466
2020-09-02,220906
2020-09-03,223153
2020-09-04,225678
2020-09-05,227376
2020-09-06,228619
2020-09-07,230519
2020-09-08,232452
2020-09-09,234460
2020-09-10,236404
2020-09-11,238169
2020-09-12,239580
2020-09-13,240560
2020-09-14,242234
2020-09-15,243903
2020-09-16,245885
2020-09-17,247479
2020-09-18,249491
2020-09-19,250961
2020-09-20,251843
2020-09-21,253264
2020-09-22,254289
2020-09-23,255607
2020-09-24,257490
2020-09-25,260547
2020-09-26,261945
2020-09-27,262921
2020-09-28,264820
2020-09-29,266538
2020-09-30,268431
2020-10-01,270413
2020-10-02,272587
2020-10-03,274237
2020-10-04,275060
2020-10-05,276817
2020-10-06,278691
2020-10-07,280321
2020-10-08,281950
2020-10-09,283339
2020-10-10,284574
2020-10-11,285384
2020-10-12,286159
2020-10-13,287676
2020-10-14,289511
2020-10-15,291350
2020-10-16,293024
2020-10-17,294505
2020-10-18,295603
2020-10-19,297622
2020-10-20,299747
2020-10-21,301664
2020-10-22,303744
2020-10-23,305456
2020-10-24,306882
2020-10-25,307681
2020-10-26,309657
2020-10-27,311651
2020-10-28,313519
2020-10-29,315274
2020-10-30,316920
2020-10-31,318047
2020-11-01,318631
2020-11-02,318938
2020-11-03,319013
