date,cases
2020-05-21,1
2020-06-25,2
2020-06-28,3
2020-07-06,5
2020-07-09,6
2020-07-19,7
2020-07-24,9
2020-07-25,10
2020-07-26,11
2020-07-27,13
2020-07-28,15
2020-07-31,20
2020-08-01,23
2020-08-04,24
2020-08-05,26
2020-08-06,29
2020-08-07,30
2020-08-08,31
2020-08-10,32
2020-08-11,35
2020-08-14,38
2020-08-16,39
2020-08-18,46
2020-08-19,48
2020-08-21,50
2020-08-23,51
2020-08-24,53
2020-08-28,54
2020-08-31,57
2020-09-01,58
2020-09-02,59
2020-09-05,60
2020-09-07,62
2020-09-08,64
2020-09-10,68
2020-09-18,73
2020-09-21,76
2020-09-22,77
2020-09-24,78
2020-10-01,80
2020-10-02,81
2020-10-28,83
2020-11-03,89
2020-11-05,91
2020-11-09,95
2020-11-24,96
2020-11-30,97
2020-12-07,98
