date,cases
2020-03-21,1
2020-04-27,5
2020-05-13,6
2020-05-14,8
2020-05-16,9
2020-05-17,11
2020-05-18,14
2020-05-19,20
2020-05-20,23
2020-05-21,26
2020-05-22,28
2020-05-24,31
2020-05-25,32
2020-05-28,33
2020-05-31,38
2020-06-01,40
2020-06-03,42
2020-06-08,43
2020-06-11,46
2020-06-13,48
2020-06-16,49
2020-06-17,50
2020-06-18,55
2020-06-19,56
2020-06-20,63
2020-06-22,64
2020-06-24,67
2020-06-25,68
2020-06-27,71
2020-06-29,72
2020-07-01,73
2020-07-02,76
2020-07-04,80
2020-07-05,83
2020-07-06,85
2020-07-07,89
2020-07-08,91
2020-07-09,93
2020-07-10,98
2020-07-11,99
2020-07-12,101
2020-07-13,103
2020-07-14,108
2020-07-15,114
2020-07-16,119
2020-07-17,127
2020-07-18,131
2020-07-19,136
2020-07-20,138
2020-07-21,141
2020-07-22,151
2020-07-23,173
2020-07-24,183
2020-07-25,193
2020-07-26,203
2020-07-27,207
2020-07-28,217
2020-07-29,221
2020-07-30,229
2020-07-31,232
2020-08-01,240
2020-08-02,243
2020-08-03,256
2020-08-04,265
2020-08-05,272
2020-08-06,282
2020-08-07,290
2020-08-08,297
2020-08-09,300
2020-08-10,308
2020-08-11,320
2020-08-12,331
2020-08-13,348
2020-08-14,362
2020-08-15,379
2020-08-16,385
2020-08-17,390
2020-08-18,403
2020-08-19,416
2020-08-20,426
2020-08-21,440
2020-08-22,448
2020-08-23,458
2020-08-24,473
2020-08-25,489
2020-08-26,500
2020-08-27,515
2020-08-28,542
2020-08-29,556
2020-08-30,558
2020-08-31,584
2020-09-01,599
2020-09-02,611
2020-09-03,620
2020-09-04,632
2020-09-05,640
2020-09-06,644
2020-09-07,650
2020-09-08,664
2020-09-09,676
2020-09-10,689
2020-09-11,694
2020-09-12,700
2020-09-13,708
2020-09-14,726
2020-09-15,754
2020-09-16,763
2020-09-17,768
2020-09-18,779
2020-09-19,791
2020-09-20,798
2020-09-21,811
2020-09-22,822
2020-09-23,825
2020-09-24,827
2020-09-25,831
2020-09-26,836
2020-09-27,841
2020-09-28,844
2020-09-29,853
2020-09-30,868
2020-10-01,871
2020-10-02,882
2020-10-03,887
2020-10-04,898
2020-10-05,908
2020-10-06,920
2020-10-07,927
2020-10-08,944
2020-10-09,956
2020-10-10,961
2020-10-11,967
2020-10-12,972
2020-10-13,992
2020-10-14,1000
2020-10-15,1015
2020-10-16,1030
2020-10-17,1038
2020-10-18,1043
2020-10-19,1064
2020-10-20,1093
2020-10-21,1099
2020-10-22,1122
2020-10-23,1138
2020-10-24,1155
2020-10-25,1178
2020-10-26,1267
2020-10-27,1286
2020-10-28,1327
2020-10-29,1347
2020-10-30,1371
2020-10-31,1397
2020-11-01,1435
2020-11-02,1446
2020-11-03,1460
2020-11-04,1485
2020-11-05,1501
2020-11-06,1520
2020-11-07,1551
2020-11-08,1560
2020-11-09,1591
2020-11-10,1618
2020-11-11,1647
2020-11-12,1691
2020-11-13,1727
2020-11-14,1765
2020-11-15,1786
2020-11-16,1823
2020-11-17,1856
2020-11-18,1905
2020-11-19,1943
2020-11-20,1985
2020-11-21,2017
2020-11-22,2022
2020-11-23,2043
2020-11-24,2065
2020-11-25,2097
2020-11-26,2125
2020-11-27,2142
2020-11-28,2168
2020-11-29,2179
2020-11-30,2213
2020-12-01,2240
2020-12-02,2260
2020-12-03,2325
2020-12-04,2386
2020-12-05,2419
2020-12-06,2432
2020-12-07,2479
2020-12-08,2498
2020-12-09,2555
2020-12-10,2633
2020-12-11,2671
2020-12-12,2722
2020-12-13,2735
2020-12-14,2769
2020-12-15,2814
2020-12-16,2873
2020-12-17,2931
2020-12-18,2998
2020-12-19,3049
2020-12-20,3076
2020-12-21,3110
2020-12-22,3188
2020-12-23,3242
2020-12-24,3292
2020-12-25,3296
2020-12-26,3316
2020-12-27,3317
2020-12-28,3337
2020-12-29,3392
2020-12-30,3414
2020-12-31,3457
2021-01-03,3458
2021-01-04,3465
