date,cases
2020-03-21,1
2020-04-27,5
2020-05-13,6
2020-05-14,8
2020-05-16,9
2020-05-17,11
2020-05-18,14
2020-05-19,20
2020-05-20,23
2020-05-21,26
2020-05-22,28
2020-05-24,31
2020-05-25,32
2020-05-28,33
2020-05-31,38
2020-06-01,40
2020-06-03,42
2020-06-08,43
2020-06-11,46
2020-06-13,48
2020-06-16,49
2020-06-17,50
2020-06-18,55
2020-06-19,56
2020-06-20,63
2020-06-22,64
2020-06-24,67
2020-06-25,68
2020-06-27,71
2020-06-29,72
2020-07-01,73
2020-07-02,76
2020-07-04,80
2020-07-05,83
2020-07-06,85
2020-07-07,89
2020-07-08,91
2020-07-09,93
2020-07-10,98
2020-07-11,99
2020-07-12,101
2020-07-13,103
2020-07-14,108
2020-07-15,114
2020-07-16,119
2020-07-17,127
2020-07-18,131
2020-07-19,136
2020-07-20,138
2020-07-21,142
2020-07-22,152
2020-07-23,174
2020-07-24,184
2020-07-25,194
2020-07-26,204
2020-07-27,208
2020-07-28,218
2020-07-29,222
2020-07-30,230
2020-07-31,233
2020-08-01,241
2020-08-02,244
2020-08-03,257
2020-08-04,266
2020-08-05,273
2020-08-06,283
2020-08-07,291
2020-08-08,298
2020-08-09,301
2020-08-10,309
2020-08-11,321
2020-08-12,332
2020-08-13,348
2020-08-14,362
2020-08-15,379
2020-08-16,385
2020-08-17,390
2020-08-18,403
2020-08-19,416
2020-08-20,426
2020-08-21,440
2020-08-22,448
2020-08-23,458
2020-08-24,473
2020-08-25,489
2020-08-26,500
2020-08-27,515
2020-08-28,542
2020-08-29,556
2020-08-30,558
2020-08-31,584
2020-09-01,599
2020-09-02,611
2020-09-03,620
2020-09-04,632
2020-09-05,640
2020-09-06,644
2020-09-07,650
2020-09-08,664
2020-09-09,676
2020-09-10,689
2020-09-11,694
2020-09-12,700
2020-09-13,708
2020-09-14,726
2020-09-15,754
2020-09-16,763
2020-09-17,768
2020-09-18,779
2020-09-19,791
2020-09-20,798
2020-09-21,811
2020-09-22,822
2020-09-23,825
2020-09-24,827
2020-09-25,831
2020-09-26,836
2020-09-27,841
2020-09-28,844
2020-09-29,851
2020-09-30,866
2020-10-01,869
2020-10-02,880
2020-10-03,885
2020-10-04,896
2020-10-05,906
2020-10-06,918
2020-10-07,925
2020-10-08,942
2020-10-09,954
2020-10-10,959
2020-10-11,965
2020-10-12,970
2020-10-13,990
2020-10-14,998
2020-10-15,1014
2020-10-16,1029
2020-10-17,1037
2020-10-18,1043
2020-10-19,1064
2020-10-20,1094
2020-10-21,1100
2020-10-22,1123
2020-10-23,1139
2020-10-24,1156
2020-10-25,1179
2020-10-26,1268
2020-10-27,1287
2020-10-28,1328
2020-10-29,1348
2020-10-30,1373
2020-10-31,1398
2020-11-01,1437
2020-11-02,1448
2020-11-03,1462
2020-11-04,1487
2020-11-05,1503
2020-11-06,1521
2020-11-07,1552
2020-11-08,1561
2020-11-09,1593
2020-11-10,1619
2020-11-11,1649
2020-11-12,1693
2020-11-13,1730
2020-11-14,1767
2020-11-15,1787
2020-11-16,1824
2020-11-17,1858
2020-11-18,1908
2020-11-19,1945
2020-11-20,1985
2020-11-21,2014
2020-11-22,2017
2020-11-23,2026
2020-11-24,2043
2020-11-25,2069
2020-11-26,2084
2020-11-27,2095
2020-11-28,2103
2020-11-30,2127
2020-12-01,2129
