date,cases
2020-03-19,1
2020-03-22,2
2020-03-24,3
2020-03-26,4
2020-03-30,9
2020-03-31,14
2020-04-02,15
2020-04-05,16
2020-04-06,17
2020-04-08,18
2020-04-09,19
2020-04-10,24
2020-04-12,26
2020-04-13,27
2020-04-14,29
2020-04-20,30
2020-04-21,31
2020-04-26,40
2020-04-29,45
2020-05-01,48
2020-05-02,51
2020-05-06,52
2020-05-08,53
2020-05-19,54
2020-05-28,56
2020-06-01,58
2020-06-02,59
2020-06-03,63
2020-06-04,64
2020-06-10,65
2020-06-11,66
2020-06-12,68
2020-06-15,70
2020-06-16,72
2020-06-19,74
2020-06-22,76
2020-06-23,77
2020-06-26,78
2020-06-27,79
2020-06-30,81
2020-07-01,82
2020-07-03,83
2020-07-04,84
2020-07-09,86
2020-07-10,92
2020-07-11,93
2020-07-13,96
2020-07-14,122
2020-07-15,124
2020-07-16,135
2020-07-17,140
2020-07-18,141
2020-07-21,149
2020-07-22,159
2020-07-23,164
2020-07-24,169
2020-07-25,173
2020-07-27,182
2020-07-28,189
2020-07-29,195
2020-07-30,196
2020-07-31,202
2020-08-01,213
2020-08-02,214
2020-08-03,219
2020-08-04,226
2020-08-05,234
2020-08-06,244
2020-08-07,249
2020-08-08,254
2020-08-09,255
2020-08-10,263
2020-08-11,279
2020-08-12,299
2020-08-13,318
2020-08-14,330
2020-08-15,338
2020-08-16,341
2020-08-17,386
2020-08-18,403
2020-08-19,419
2020-08-20,432
2020-08-21,447
2020-08-23,450
2020-08-24,472
2020-08-25,496
2020-08-26,511
2020-08-27,530
2020-08-28,548
2020-08-29,552
2020-08-30,559
2020-08-31,567
2020-09-01,571
2020-09-02,578
2020-09-03,587
2020-09-04,595
2020-09-05,608
2020-09-06,609
2020-09-07,619
2020-09-08,627
2020-09-09,639
2020-09-10,647
2020-09-11,663
2020-09-12,671
2020-09-13,681
2020-09-14,704
2020-09-15,730
2020-09-16,756
2020-09-17,762
2020-09-18,801
2020-09-19,808
2020-09-20,814
2020-09-21,820
2020-09-22,839
2020-09-23,857
2020-09-24,865
2020-09-25,879
2020-09-26,884
2020-09-27,888
2020-09-28,906
2020-09-29,917
2020-09-30,939
2020-10-01,954
2020-10-02,966
2020-10-03,967
2020-10-04,968
2020-10-05,983
2020-10-06,1001
2020-10-07,1019
2020-10-08,1042
2020-10-09,1059
2020-10-10,1062
2020-10-11,1064
2020-10-12,1065
2020-10-13,1082
2020-10-14,1097
2020-10-15,1151
2020-10-16,1172
2020-10-17,1176
2020-10-18,1192
2020-10-19,1211
2020-10-20,1242
2020-10-21,1277
2020-10-22,1310
2020-10-23,1330
2020-10-24,1338
2020-10-25,1341
2020-10-26,1358
2020-10-27,1371
2020-10-28,1385
2020-10-29,1391
2020-10-30,1399
2020-10-31,1401
2020-11-02,1423
2020-11-03,1454
2020-11-04,1467
2020-11-05,1474
2020-11-06,1482
2020-11-07,1484
2020-11-08,1507
2020-11-09,1526
2020-11-10,1535
2020-11-11,1538
2020-11-12,1540
2020-11-13,1546
2020-11-14,1553
2020-11-15,1560
2020-11-16,1571
2020-11-17,1579
2020-11-18,1583
2020-11-19,1592
2020-11-20,1603
2020-11-22,1604
2020-11-23,1618
2020-11-24,1643
2020-11-25,1656
2020-11-26,1667
2020-11-27,1676
2020-11-28,1678
2020-11-30,1685
2020-12-01,1686
2020-12-02,1689
2020-12-03,1695
2020-12-04,1701
2020-12-07,1705
2020-12-08,1706
2020-12-09,1709
2020-12-10,1712
