date,cases
2020-03-14,1
2020-03-17,2
2020-03-20,3
2020-03-23,4
2020-03-24,8
2020-03-25,9
2020-03-27,12
2020-03-28,15
2020-03-31,16
2020-04-01,18
2020-04-04,19
2020-04-06,20
2020-04-07,21
2020-04-08,22
2020-04-11,24
2020-04-14,25
2020-04-20,26
2020-05-12,27
2020-05-18,28
2020-05-25,29
2020-05-28,30
2020-05-29,32
2020-05-30,33
2020-06-03,38
2020-06-04,39
2020-06-05,42
2020-06-06,44
2020-06-07,50
2020-06-08,53
2020-06-09,55
2020-06-10,58
2020-06-11,62
2020-06-12,64
2020-06-13,65
2020-06-14,66
2020-06-16,70
2020-06-17,71
2020-06-18,75
2020-06-19,80
2020-06-22,82
2020-06-23,88
2020-06-24,90
2020-06-25,95
2020-06-26,104
2020-06-27,110
2020-06-28,116
2020-06-29,122
2020-06-30,130
2020-07-01,150
2020-07-02,160
2020-07-03,175
2020-07-04,187
2020-07-05,202
2020-07-06,226
2020-07-07,256
2020-07-08,307
2020-07-09,347
2020-07-10,392
2020-07-11,439
2020-07-12,477
2020-07-13,540
2020-07-14,591
2020-07-15,637
2020-07-16,679
2020-07-17,735
2020-07-18,792
2020-07-19,846
2020-07-20,925
2020-07-21,990
2020-07-22,1034
2020-07-23,1097
2020-07-24,1146
2020-07-25,1189
2020-07-26,1234
2020-07-27,1278
2020-07-28,1341
2020-07-29,1389
2020-07-30,1424
2020-07-31,1462
2020-08-01,1531
2020-08-02,1557
2020-08-03,1605
2020-08-04,1628
2020-08-05,1667
2020-08-06,1704
2020-08-07,1739
2020-08-08,1783
2020-08-09,1832
2020-08-10,1865
2020-08-11,1913
2020-08-12,1942
2020-08-13,1980
2020-08-14,2013
2020-08-15,2039
2020-08-16,2058
2020-08-17,2082
2020-08-18,2122
2020-08-19,2172
2020-08-20,2214
2020-08-21,2256
2020-08-22,2293
2020-08-23,2327
2020-08-24,2393
2020-08-25,2446
2020-08-26,2482
2020-08-27,2516
2020-08-28,2536
2020-08-29,2594
2020-08-30,2644
2020-08-31,2706
2020-09-01,2781
2020-09-02,2856
2020-09-03,2902
2020-09-04,2934
2020-09-05,2962
2020-09-06,2994
2020-09-07,3050
2020-09-08,3092
2020-09-09,3134
2020-09-10,3187
2020-09-11,3266
2020-09-12,3352
2020-09-13,3402
2020-09-14,3473
2020-09-15,3528
2020-09-16,3557
2020-09-17,3595
2020-09-18,3652
2020-09-19,3715
2020-09-20,3742
2020-09-21,3801
2020-09-22,3868
2020-09-23,3948
2020-09-24,4016
2020-09-25,4068
2020-09-26,4152
2020-09-27,4250
2020-09-28,4372
2020-09-29,4446
2020-09-30,4545
2020-10-01,4627
2020-10-02,4729
2020-10-03,4830
2020-10-04,4934
2020-10-05,5079
2020-10-06,5188
2020-10-07,5288
2020-10-08,5403
2020-10-09,5518
2020-10-10,5639
2020-10-11,5707
2020-10-12,5793
2020-10-13,5960
2020-10-14,6060
2020-10-15,6204
2020-10-16,6388
2020-10-17,6501
2020-10-18,6615
2020-10-19,6745
2020-10-20,6990
2020-10-21,7130
2020-10-22,7240
2020-10-23,7408
2020-10-24,7508
2020-10-25,7652
2020-10-26,7793
2020-10-27,7900
2020-10-28,7985
2020-10-29,8078
2020-10-30,8190
2020-10-31,8299
2020-11-01,8380
2020-11-02,8416
2020-11-03,8497
2020-11-04,8565
2020-11-05,8625
2020-11-06,8710
2020-11-07,8792
2020-11-08,8831
2020-11-09,8908
2020-11-10,8963
2020-11-11,9016
2020-11-12,9089
2020-11-13,9154
2020-11-14,9185
2020-11-15,9214
2020-11-16,9244
2020-11-17,9294
2020-11-18,9355
2020-11-19,9418
2020-11-20,9455
2020-11-21,9489
2020-11-22,9513
2020-11-23,9522
2020-11-24,9523
