date,cases
2020-05-17,1
2020-05-18,2
2020-05-25,11
2020-05-26,13
2020-05-29,14
2020-05-30,15
2020-05-31,16
2020-06-03,23
2020-06-05,24
2020-06-22,25
2020-06-25,26
2020-07-02,27
2020-07-06,28
2020-07-10,30
2020-07-12,31
2020-07-13,32
2020-07-14,33
2020-07-15,35
2020-07-16,36
2020-07-18,39
2020-07-21,40
2020-07-29,41
2020-07-30,43
2020-08-02,44
2020-08-03,45
2020-08-05,47
2020-08-06,48
2020-08-07,49
2020-08-08,50
2020-08-13,51
2020-08-14,52
2020-08-15,55
2020-08-17,58
2020-08-18,61
2020-08-19,63
2020-08-20,67
2020-08-21,74
2020-08-22,77
2020-08-23,80
2020-08-25,82
2020-08-26,83
2020-08-27,85
2020-08-29,86
2020-08-31,91
2020-09-02,92
2020-09-03,93
2020-09-07,94
2020-09-09,96
2020-09-10,97
2020-09-11,98
2020-09-14,99
2020-09-17,101
2020-09-18,102
2020-09-20,103
2020-09-21,104
2020-09-25,105
2020-09-26,106
2020-09-29,108
2020-09-30,109
2020-10-03,110
2020-10-04,111
2020-10-05,112
2020-10-07,113
2020-10-09,116
2020-10-12,117
2020-10-15,120
2020-10-18,121
2020-10-19,122
2020-10-20,124
2020-10-21,125
2020-10-22,127
2020-10-23,128
2020-10-24,130
2020-10-25,132
2020-10-26,133
2020-10-29,134
2020-10-30,136
2020-10-31,137
2020-11-01,139
2020-11-02,140
2020-11-03,143
2020-11-04,151
2020-11-05,154
2020-11-06,155
2020-11-07,156
2020-11-08,158
2020-11-09,159
2020-11-10,163
2020-11-11,166
2020-11-12,168
2020-11-13,176
2020-11-14,177
2020-11-16,178
2020-11-17,179
2020-11-22,180
2020-11-23,181
2020-11-24,183
2020-11-25,184
2020-11-26,185
2020-11-27,186
