date,cases
2020-07-28,1
2020-08-21,4
2020-08-23,5
2020-08-28,6
2020-08-29,7
2020-09-04,9
2020-09-07,10
2020-09-10,16
2020-09-11,24
2020-09-14,25
2020-09-16,27
2020-09-17,29
2020-09-21,30
2020-09-23,31
2020-10-01,32
2020-10-04,33
2020-10-05,34
2020-10-08,35
2020-10-16,37
2020-10-20,39
2020-10-22,40
2020-10-23,44
2020-10-24,48
2020-10-27,51
2020-10-29,54
2020-11-03,55
2020-11-04,57
2020-11-06,58
2020-11-07,60
2020-11-09,64
2020-11-11,66
2020-11-12,71
2020-11-13,77
2020-11-14,85
2020-11-15,86
2020-11-16,94
2020-11-17,95
2020-11-18,96
2020-11-19,103
2020-11-20,105
2020-11-21,106
2020-11-23,107
2020-11-24,110
2020-11-25,111
2020-11-26,114
2020-11-28,118
2020-11-29,124
2020-11-30,127
2020-12-01,129
2020-12-03,137
2020-12-04,150
2020-12-05,152
2020-12-06,154
2020-12-07,156
2020-12-08,158
2020-12-09,161
2020-12-10,165
2020-12-11,173
2020-12-12,176
2020-12-13,178
2020-12-14,179
2020-12-15,181
2020-12-17,183
2020-12-18,186
2020-12-19,189
2020-12-21,195
