date,cases
2020-04-06,2
2020-04-14,3
2020-04-15,5
2020-05-11,6
2020-05-19,12
2020-05-20,18
2020-05-27,20
2020-05-28,21
2020-05-30,23
2020-06-02,24
2020-06-04,30
2020-06-18,31
2020-06-28,32
2020-06-30,33
2020-07-03,34
2020-07-04,36
2020-07-05,38
2020-07-07,41
2020-07-09,44
2020-07-10,46
2020-07-11,48
2020-07-12,49
2020-07-14,51
2020-07-15,53
2020-07-16,56
2020-07-17,60
2020-07-18,61
2020-07-20,62
2020-07-21,64
2020-07-23,66
2020-07-27,68
2020-07-28,74
2020-07-29,80
2020-07-31,82
2020-08-01,84
2020-08-03,87
2020-08-04,88
2020-08-05,89
2020-08-06,95
2020-08-07,98
2020-08-08,99
2020-08-10,101
2020-08-11,102
2020-08-12,111
2020-08-14,112
2020-08-15,117
2020-08-16,118
2020-08-17,122
2020-08-18,124
2020-08-19,128
2020-08-20,129
2020-08-21,137
2020-08-22,138
2020-08-23,139
2020-08-24,145
2020-08-25,147
2020-08-26,149
2020-08-27,152
2020-08-28,154
2020-08-29,157
2020-08-30,159
2020-08-31,161
2020-09-02,168
2020-09-03,169
2020-09-04,173
2020-09-05,176
2020-09-06,179
2020-09-07,183
2020-09-08,189
2020-09-09,192
2020-09-10,193
2020-09-11,196
2020-09-12,198
2020-09-13,200
2020-09-14,202
2020-09-15,205
2020-09-16,207
2020-09-17,209
2020-09-18,210
2020-09-19,213
2020-09-20,214
2020-09-22,215
2020-09-23,218
2020-09-24,221
2020-09-25,223
2020-09-26,225
2020-09-28,226
2020-09-30,228
2020-10-01,231
2020-10-03,233
2020-10-05,234
2020-10-06,235
2020-10-08,237
2020-10-09,238
2020-10-12,239
2020-10-15,241
2020-10-16,243
2020-10-17,244
2020-10-19,245
2020-10-20,246
2020-10-21,247
2020-10-22,250
2020-10-23,251
2020-10-26,253
2020-10-27,255
