date,cases
2020-07-16,4
2020-07-26,13
2020-07-28,21
2020-08-29,25
2020-09-28,26
2020-10-06,30
2020-10-08,31
2020-10-09,32
2020-10-11,33
2020-10-14,34
2020-10-15,36
2020-10-18,37
2020-10-19,38
2020-10-20,39
2020-10-21,41
2020-10-27,44
2020-10-29,47
2020-10-31,48
2020-11-06,49
2020-11-12,50
2020-11-13,51
2020-11-14,52
2020-11-17,54
2020-11-19,55
2020-11-22,57
2020-11-29,58
2020-12-02,59
2020-12-06,60
2020-12-07,61
2020-12-09,62
2020-12-11,64
2020-12-12,65
2020-12-14,66
2020-12-15,69
2020-12-16,70
2020-12-19,72
2020-12-21,73
2020-12-24,74
2020-12-27,75
2020-12-29,76
2020-12-30,77
2021-01-04,78
