date,cases
2020-04-16,1
2020-04-23,2
2020-04-26,3
2020-04-27,4
2020-05-04,5
2020-05-19,6
2020-05-20,7
2020-05-22,8
2020-05-28,9
2020-05-31,10
2020-06-02,12
2020-06-04,14
2020-06-07,15
2020-06-08,16
2020-06-10,24
2020-06-16,25
2020-06-18,26
2020-06-21,27
2020-06-24,28
2020-06-29,29
2020-06-30,30
2020-07-01,31
2020-07-02,33
2020-07-03,34
2020-07-04,35
2020-07-05,36
2020-07-07,38
2020-07-08,39
2020-07-09,40
2020-07-13,47
2020-07-14,49
2020-07-17,52
2020-07-19,53
2020-07-20,55
2020-07-21,58
2020-07-22,60
2020-07-23,63
2020-07-24,78
2020-07-25,81
2020-07-26,83
2020-07-27,87
2020-07-28,94
2020-07-29,100
2020-07-30,106
2020-07-31,108
2020-08-01,110
2020-08-02,112
2020-08-03,117
2020-08-04,121
2020-08-05,122
2020-08-06,130
2020-08-07,136
2020-08-08,142
2020-08-09,145
2020-08-10,149
2020-08-11,160
2020-08-12,167
2020-08-13,170
2020-08-14,177
2020-08-15,194
2020-08-16,198
2020-08-17,200
2020-08-18,209
2020-08-19,232
2020-08-20,240
2020-08-21,273
2020-08-22,329
2020-08-23,333
2020-08-24,421
2020-08-25,425
2020-08-26,514
2020-08-27,521
2020-08-28,530
2020-08-29,539
2020-08-30,554
2020-08-31,557
2020-09-01,562
2020-09-02,568
2020-09-03,589
2020-09-04,604
2020-09-05,607
2020-09-06,609
2020-09-07,618
2020-09-08,620
2020-09-09,626
2020-09-10,636
2020-09-11,642
2020-09-12,648
2020-09-13,657
2020-09-14,664
2020-09-15,667
2020-09-16,671
2020-09-17,678
2020-09-18,684
2020-09-19,687
2020-09-21,688
2020-09-23,690
2020-09-24,696
2020-09-25,700
2020-09-26,702
2020-09-27,703
2020-09-28,710
2020-09-29,712
2020-09-30,717
2020-10-01,743
2020-10-02,748
2020-10-03,752
2020-10-04,756
2020-10-05,781
2020-10-06,787
2020-10-07,790
2020-10-08,799
2020-10-09,809
2020-10-10,812
2020-10-11,850
2020-10-12,851
2020-10-13,857
2020-10-14,862
2020-10-15,866
2020-10-16,867
2020-10-17,876
2020-10-18,883
2020-10-19,909
2020-10-20,920
2020-10-21,922
2020-10-22,939
2020-10-23,952
2020-10-24,956
2020-10-25,958
2020-10-26,974
2020-10-27,979
2020-10-28,989
2020-10-29,1011
2020-10-30,1022
2020-10-31,1033
2020-11-01,1034
2020-11-02,1037
2020-11-03,1040
2020-11-04,1048
2020-11-05,1051
2020-11-06,1071
2020-11-07,1076
2020-11-08,1107
2020-11-09,1111
2020-11-10,1117
2020-11-11,1123
2020-11-12,1129
2020-11-13,1142
2020-11-14,1149
2020-11-15,1162
2020-11-16,1169
2020-11-18,1172
2020-11-19,1187
2020-11-20,1197
2020-11-22,1206
2020-11-23,1211
2020-11-25,1215
2020-11-26,1242
2020-11-27,1245
2020-11-28,1246
2020-11-29,1249
2020-11-30,1252
