date,cases
2020-05-13,1
2020-05-15,2
2020-05-18,3
2020-05-19,4
2020-05-22,5
2020-05-24,6
2020-05-27,8
2020-05-31,9
2020-06-01,11
2020-06-04,13
2020-06-13,14
2020-06-16,15
2020-06-23,17
2020-06-24,18
2020-06-25,21
2020-06-26,24
2020-06-27,26
2020-06-30,31
2020-07-01,34
2020-07-03,36
2020-07-05,38
2020-07-06,41
2020-07-08,46
2020-07-10,51
2020-07-11,53
2020-07-12,56
2020-07-13,59
2020-07-15,61
2020-07-16,64
2020-07-17,65
2020-07-18,71
2020-07-20,75
2020-07-21,80
2020-07-22,83
2020-07-23,85
2020-07-24,87
2020-07-25,89
2020-07-27,90
2020-07-28,92
2020-07-29,95
2020-07-30,97
2020-07-31,99
2020-08-01,100
2020-08-02,102
2020-08-03,106
2020-08-04,112
2020-08-05,114
2020-08-06,117
2020-08-07,119
2020-08-08,120
2020-08-09,121
2020-08-10,124
2020-08-11,130
2020-08-12,131
2020-08-13,137
2020-08-14,139
2020-08-17,141
2020-08-18,144
2020-08-19,147
2020-08-21,150
2020-08-22,153
2020-08-23,156
2020-08-24,162
2020-08-25,163
2020-08-26,164
2020-08-27,168
2020-08-28,170
2020-08-29,172
2020-08-30,174
2020-08-31,177
2020-09-01,181
2020-09-02,183
2020-09-03,185
2020-09-04,188
2020-09-05,191
2020-09-07,193
2020-09-08,195
2020-09-09,197
2020-09-10,199
2020-09-11,200
2020-09-12,201
2020-09-13,210
2020-09-14,215
2020-09-15,219
2020-09-16,223
2020-09-18,228
2020-09-19,231
2020-09-20,234
2020-09-21,237
2020-09-23,238
2020-09-24,241
2020-09-25,243
2020-09-27,245
2020-09-28,247
2020-09-29,262
2020-09-30,264
2020-10-01,266
2020-10-02,268
2020-10-03,269
2020-10-05,270
2020-10-06,271
2020-10-07,273
2020-10-08,279
2020-10-09,281
2020-10-12,283
2020-10-13,286
2020-10-14,288
2020-10-15,292
2020-10-16,294
2020-10-17,298
2020-10-19,304
2020-10-20,306
2020-10-21,312
2020-10-22,313
2020-10-23,315
2020-10-24,319
2020-10-25,323
2020-10-26,326
2020-10-27,327
2020-10-28,331
2020-10-29,333
2020-10-30,334
2020-10-31,335
2020-11-03,340
2020-11-04,342
2020-11-05,343
2020-11-06,347
2020-11-07,348
2020-11-08,350
2020-11-09,358
2020-11-10,363
2020-11-11,366
2020-11-12,367
2020-11-17,369
2020-11-19,373
2020-11-20,375
2020-11-21,378
2020-11-22,379
2020-11-23,381
2020-11-24,382
2020-11-25,385
2020-11-26,388
2020-11-27,390
2020-11-28,395
2020-11-29,396
2020-11-30,397
2020-12-01,400
2020-12-02,401
2020-12-03,408
2020-12-04,417
2020-12-05,418
2020-12-07,422
2020-12-09,423
2020-12-10,428
2020-12-11,429
2020-12-12,432
2020-12-14,436
2020-12-15,438
2020-12-17,440
