date,cases
2020-07-09,1
2020-07-13,4
2020-07-19,5
2020-07-27,6
2020-07-29,8
2020-07-31,9
2020-08-01,10
2020-08-04,11
2020-08-16,12
2020-08-18,13
2020-08-20,15
2020-08-22,16
2020-08-24,18
2020-08-25,19
2020-08-28,21
2020-08-29,22
2020-09-03,23
2020-09-04,24
2020-09-12,25
2020-09-13,26
2020-09-20,30
2020-09-22,31
2020-09-24,32
2020-09-27,38
2020-10-02,39
2020-10-20,40
2020-10-22,41
2020-10-23,42
2020-10-25,45
2020-10-26,46
2020-10-29,48
2020-11-04,50
2020-11-09,51
2020-11-24,53
2020-11-28,54
2020-11-30,56
2020-12-01,57
2020-12-04,62
2020-12-05,66
2020-12-10,68
2020-12-15,70
2020-12-20,71
