date,cases
2020-04-21,2
2020-04-26,4
2020-05-01,6
2020-05-21,8
2020-05-23,10
2020-05-25,19
2020-05-26,22
2020-05-27,26
2020-05-28,30
2020-05-29,31
2020-05-31,35
2020-06-01,51
2020-06-02,58
2020-06-03,64
2020-06-05,65
2020-06-07,66
2020-06-08,76
2020-06-09,90
2020-06-10,92
2020-06-11,93
2020-06-12,95
2020-06-16,96
2020-06-18,97
2020-06-19,98
2020-06-20,99
2020-06-21,100
2020-06-24,101
2020-06-25,105
2020-06-27,106
2020-06-28,107
2020-07-01,108
2020-07-03,110
2020-07-06,111
2020-07-07,112
2020-07-10,113
2020-07-11,114
2020-07-13,116
2020-07-14,118
2020-07-15,120
2020-07-16,121
2020-07-17,125
2020-07-18,126
2020-07-20,127
2020-07-21,129
2020-07-22,134
2020-07-23,141
2020-07-24,143
2020-07-26,144
2020-07-27,145
2020-07-28,147
2020-07-30,149
2020-07-31,154
2020-08-01,158
2020-08-02,161
2020-08-03,164
2020-08-05,168
2020-08-06,176
2020-08-07,179
2020-08-08,182
2020-08-09,185
2020-08-10,190
2020-08-11,196
2020-08-12,197
2020-08-13,201
2020-08-14,212
2020-08-15,221
2020-08-16,227
2020-08-17,231
2020-08-18,240
2020-08-19,247
2020-08-20,253
2020-08-21,258
2020-08-22,266
2020-08-23,276
2020-08-24,307
2020-08-25,321
2020-08-26,335
2020-08-27,361
2020-08-28,379
2020-08-29,390
2020-08-30,399
2020-08-31,429
2020-09-01,443
2020-09-02,456
2020-09-03,501
2020-09-04,516
2020-09-05,529
2020-09-06,532
2020-09-07,575
2020-09-08,586
2020-09-09,597
2020-09-10,607
2020-09-11,643
2020-09-12,675
2020-09-13,691
2020-09-14,715
2020-09-15,740
2020-09-16,764
2020-09-17,783
2020-09-18,793
2020-09-19,802
2020-09-20,811
2020-09-21,833
2020-09-22,854
2020-09-23,870
2020-09-24,884
2020-09-25,912
2020-09-26,922
2020-09-27,923
2020-09-28,928
2020-09-29,945
2020-09-30,951
2020-10-01,977
2020-10-02,981
2020-10-03,986
2020-10-04,987
2020-10-05,992
2020-10-06,1007
2020-10-07,1011
2020-10-08,1016
2020-10-09,1024
2020-10-10,1034
2020-10-11,1036
2020-10-12,1041
2020-10-13,1043
2020-10-14,1047
2020-10-15,1048
2020-10-16,1050
2020-10-17,1061
2020-10-18,1066
2020-10-19,1074
2020-10-20,1085
2020-10-21,1087
2020-10-22,1089
2020-10-23,1094
2020-10-24,1099
2020-10-25,1103
2020-10-26,1106
2020-10-27,1110
2020-10-28,1113
2020-10-29,1115
2020-10-30,1116
2020-10-31,1117
2020-11-01,1118
2020-11-03,1120
2020-11-04,1121
2020-11-05,1124
2020-11-06,1130
2020-11-07,1133
2020-11-09,1134
2020-11-10,1137
2020-11-11,1139
2020-11-12,1141
2020-11-13,1147
2020-11-14,1149
2020-11-17,1151
2020-11-19,1152
2020-11-20,1155
2020-11-22,1156
