date,cases
2020-04-14,1
2020-07-18,2
2020-07-29,3
2020-08-05,6
2020-08-06,7
2020-08-10,8
2020-08-20,10
2020-09-02,12
2020-09-10,13
2020-09-14,14
2020-09-15,17
2020-09-17,18
2020-09-21,19
2020-09-22,20
2020-09-23,21
2020-09-25,22
2020-10-05,24
2020-10-07,26
2020-10-13,28
2020-10-14,29
2020-10-19,30
2020-10-20,32
2020-10-21,35
2020-10-27,36
2020-10-29,37
2020-10-30,39
2020-11-03,40
2020-11-08,41
2020-11-10,43
2020-11-12,44
2020-11-13,46
2020-11-15,47
2020-11-16,48
2020-11-18,51
2020-11-23,54
2020-11-24,55
2020-11-25,56
2020-11-26,57
2020-11-27,60
2020-11-30,61
2020-12-04,62
2020-12-05,64
2020-12-07,68
2020-12-11,69
2020-12-12,70
2020-12-14,72
2020-12-15,73
2020-12-18,82
2020-12-20,84
2020-12-21,86
2020-12-22,87
2020-12-24,88
2020-12-26,90
