date,cases
2020-04-17,1
2020-05-19,2
2020-05-26,5
2020-05-27,9
2020-06-06,12
2020-06-12,13
2020-06-21,14
2020-06-25,19
2020-06-27,20
2020-06-30,21
2020-07-01,23
2020-07-02,25
2020-07-03,26
2020-07-04,27
2020-07-06,30
2020-07-08,32
2020-07-09,33
2020-07-12,36
2020-07-13,39
2020-07-14,41
2020-07-15,43
2020-07-16,47
2020-07-17,49
2020-07-19,50
2020-07-21,51
2020-07-22,53
2020-07-23,58
2020-07-24,67
2020-07-25,69
2020-07-27,71
2020-07-28,74
2020-07-29,75
2020-07-30,79
2020-07-31,82
2020-08-01,83
2020-08-03,87
2020-08-04,88
2020-08-05,91
2020-08-06,92
2020-08-08,96
2020-08-10,99
2020-08-11,107
2020-08-12,111
2020-08-13,117
2020-08-14,119
2020-08-15,126
2020-08-17,132
2020-08-18,136
2020-08-19,147
2020-08-20,150
2020-08-21,157
2020-08-22,159
2020-08-23,160
2020-08-24,165
2020-08-25,173
2020-08-26,176
2020-08-27,178
2020-08-28,183
2020-08-29,186
2020-08-30,189
2020-08-31,195
2020-09-01,198
2020-09-02,199
2020-09-03,205
2020-09-04,208
2020-09-05,213
2020-09-07,218
2020-09-08,223
2020-09-09,233
2020-09-10,237
2020-09-11,240
2020-09-12,245
2020-09-13,246
2020-09-14,252
2020-09-15,257
2020-09-16,265
2020-09-17,268
2020-09-18,270
2020-09-19,273
2020-09-20,275
2020-09-21,279
2020-09-22,280
2020-09-23,286
2020-09-24,292
2020-09-25,298
2020-09-26,301
2020-09-28,306
2020-09-29,309
2020-09-30,311
2020-10-01,313
2020-10-02,318
2020-10-03,321
2020-10-04,322
2020-10-05,327
2020-10-06,332
2020-10-07,337
2020-10-08,342
2020-10-09,344
2020-10-10,345
2020-10-11,347
2020-10-13,349
2020-10-14,350
2020-10-15,352
2020-10-16,353
2020-10-17,354
2020-10-18,355
2020-10-19,356
2020-10-20,359
2020-10-21,360
2020-10-23,361
2020-10-25,362
2020-10-26,379
2020-10-27,386
2020-10-28,390
2020-10-29,392
2020-10-30,395
2020-10-31,397
2020-11-03,405
2020-11-04,406
2020-11-06,407
2020-11-08,409
2020-11-10,411
2020-11-11,413
2020-11-12,415
2020-11-17,416
2020-11-18,417
2020-11-20,420
2020-11-21,422
2020-11-26,423
2020-11-28,424
2020-11-29,425
2020-11-30,429
2020-12-01,431
2020-12-03,434
2020-12-04,445
2020-12-05,448
2020-12-07,452
2020-12-08,453
2020-12-09,456
2020-12-10,460
2020-12-11,463
2020-12-12,464
2020-12-14,465
