date,cases
2020-06-25,1
2020-07-09,2
2020-07-14,8
2020-07-15,9
2020-07-16,12
2020-07-22,14
2020-07-23,15
2020-07-25,16
2020-07-30,26
2020-08-01,28
2020-08-02,29
2020-08-03,30
2020-08-05,33
2020-08-06,34
2020-08-12,35
2020-08-18,36
2020-08-22,37
2020-08-29,38
2020-09-01,39
2020-09-06,40
2020-09-08,41
2020-09-16,42
2020-09-17,43
2020-09-18,44
2020-09-19,45
2020-09-27,46
2020-09-29,48
2020-09-30,62
2020-10-01,63
2020-10-04,64
2020-10-05,65
2020-10-06,66
2020-10-07,92
2020-10-08,112
2020-10-10,113
2020-10-11,115
2020-10-13,120
2020-10-15,121
2020-10-17,197
2020-10-20,198
2020-10-23,199
2020-10-25,200
2020-10-26,202
2020-10-27,203
2020-10-28,204
2020-10-29,205
2020-10-31,207
2020-11-01,208
