date,cases
2020-03-13,1
2020-03-14,2
2020-03-23,3
2020-03-24,4
2020-03-25,6
2020-03-28,8
2020-03-29,10
2020-03-30,11
2020-04-02,12
2020-04-08,13
2020-04-09,15
2020-04-11,16
2020-04-14,17
2020-04-16,19
2020-04-17,20
2020-05-11,21
2020-05-14,22
2020-05-17,23
2020-05-20,26
2020-05-23,27
2020-05-25,28
2020-05-26,33
2020-05-27,34
2020-05-30,35
2020-05-31,36
2020-06-01,40
2020-06-03,43
2020-06-04,45
2020-06-06,51
2020-06-07,54
2020-06-08,60
2020-06-09,64
2020-06-10,65
2020-06-11,69
2020-06-12,74
2020-06-13,80
2020-06-14,82
2020-06-16,86
2020-06-17,102
2020-06-18,111
2020-06-19,116
2020-06-20,132
2020-06-21,134
2020-06-22,145
2020-06-23,160
2020-06-24,166
2020-06-25,179
2020-06-26,191
2020-06-27,202
2020-06-28,214
2020-06-29,220
2020-06-30,235
2020-07-01,242
2020-07-02,260
2020-07-03,279
2020-07-04,301
2020-07-05,320
2020-07-06,350
2020-07-07,380
2020-07-08,409
2020-07-09,457
2020-07-10,526
2020-07-11,566
2020-07-12,576
2020-07-13,626
2020-07-14,681
2020-07-15,738
2020-07-16,803
2020-07-17,875
2020-07-18,948
2020-07-19,980
2020-07-20,1031
2020-07-21,1120
2020-07-22,1249
2020-07-23,1358
2020-07-24,1466
2020-07-25,1610
2020-07-26,1696
2020-07-27,1906
2020-07-28,2109
2020-07-29,2294
2020-07-30,2502
2020-07-31,2647
2020-08-01,2852
2020-08-02,2952
2020-08-03,3118
2020-08-04,3338
2020-08-05,3550
2020-08-06,3770
2020-08-07,3999
2020-08-08,4173
2020-08-09,4361
2020-08-10,4600
2020-08-11,4851
2020-08-12,5063
2020-08-13,5322
2020-08-14,5565
2020-08-15,5773
2020-08-16,5973
2020-08-17,6119
2020-08-18,6381
2020-08-19,6655
2020-08-20,6925
2020-08-21,7314
2020-08-22,7543
2020-08-23,7631
2020-08-24,7910
2020-08-25,8188
2020-08-26,8369
2020-08-27,8555
2020-08-28,8818
2020-08-29,8990
2020-08-30,9176
2020-08-31,9388
2020-09-01,9571
2020-09-02,9754
2020-09-03,9946
2020-09-04,10226
2020-09-05,10419
2020-09-06,10509
2020-09-07,10674
2020-09-08,10855
2020-09-09,11027
2020-09-10,11218
2020-09-11,11410
2020-09-12,11614
2020-09-13,11724
2020-09-14,11955
2020-09-15,12137
2020-09-16,12252
2020-09-17,12366
2020-09-18,12505
2020-09-19,12605
2020-09-20,12678
2020-09-21,12860
2020-09-22,13050
2020-09-23,13152
2020-09-24,13286
2020-09-25,13389
2020-09-26,13543
2020-09-27,13656
2020-09-28,13830
2020-09-29,14012
2020-09-30,14163
2020-10-01,14284
2020-10-02,14401
2020-10-03,14504
2020-10-04,14587
2020-10-05,14761
2020-10-06,14930
2020-10-07,15059
2020-10-08,15203
2020-10-09,15333
2020-10-10,15443
2020-10-11,15533
2020-10-12,15585
2020-10-13,15713
2020-10-14,15820
2020-10-15,15980
2020-10-16,16140
2020-10-17,16282
2020-10-18,16378
2020-10-19,16624
2020-10-20,16817
2020-10-21,16973
2020-10-22,17172
2020-10-23,17382
2020-10-24,17513
2020-10-25,17536
2020-10-26,17624
2020-10-27,17711
2020-10-28,17779
2020-10-29,17841
2020-10-30,17899
2020-10-31,17932
2020-11-01,17957
2020-11-02,17968
2020-11-03,17990
