date,cases
2020-04-28,1
2020-05-01,2
2020-05-02,3
2020-05-04,9
2020-05-05,13
2020-05-06,14
2020-05-07,15
2020-05-08,51
2020-05-10,52
2020-05-11,58
2020-05-12,60
2020-05-13,61
2020-05-14,62
2020-05-16,66
2020-05-17,70
2020-05-18,73
2020-05-19,76
2020-05-20,77
2020-05-21,81
2020-05-22,82
2020-05-23,83
2020-05-24,86
2020-05-25,87
2020-05-26,91
2020-05-27,95
2020-05-28,111
2020-05-29,113
2020-05-30,115
2020-05-31,117
2020-06-01,122
2020-06-02,128
2020-06-03,130
2020-06-04,133
2020-06-05,138
2020-06-06,144
2020-06-08,151
2020-06-09,156
2020-06-10,169
2020-06-11,181
2020-06-12,187
2020-06-13,195
2020-06-14,202
2020-06-15,208
2020-06-16,223
2020-06-17,238
2020-06-18,248
2020-06-19,281
2020-06-20,297
2020-06-21,306
2020-06-22,317
2020-06-23,334
2020-06-24,370
2020-06-25,389
2020-06-26,403
2020-06-27,429
2020-06-28,437
2020-06-29,458
2020-06-30,490
2020-07-01,527
2020-07-02,553
2020-07-03,580
2020-07-04,628
2020-07-05,642
2020-07-06,680
2020-07-07,707
2020-07-08,771
2020-07-09,798
2020-07-10,830
2020-07-11,883
2020-07-12,900
2020-07-13,913
2020-07-14,954
2020-07-15,983
2020-07-16,1009
2020-07-17,1039
2020-07-18,1061
2020-07-19,1086
2020-07-20,1092
2020-07-21,1114
2020-07-22,1144
2020-07-23,1176
2020-07-24,1196
2020-07-25,1227
2020-07-26,1262
2020-07-27,1306
2020-07-28,1346
2020-07-29,1372
2020-07-30,1402
2020-07-31,1420
2020-08-01,1437
2020-08-02,1468
2020-08-03,1492
2020-08-04,1517
2020-08-05,1590
2020-08-06,1635
2020-08-07,1659
2020-08-08,1678
2020-08-09,1689
2020-08-10,1703
2020-08-11,1740
2020-08-12,1807
2020-08-13,1824
2020-08-14,1840
2020-08-15,1857
2020-08-16,1870
2020-08-17,1874
2020-08-18,1882
2020-08-19,1898
2020-08-20,1907
2020-08-21,1923
2020-08-22,1934
2020-08-23,1946
2020-08-24,1950
2020-08-25,1953
2020-08-26,1965
2020-08-27,1978
2020-08-28,1987
2020-08-29,1993
2020-08-30,1994
2020-08-31,2001
2020-09-01,2002
2020-09-02,2011
2020-09-03,2017
2020-09-04,2023
2020-09-05,2024
2020-09-06,2029
2020-09-07,2042
2020-09-08,2058
2020-09-09,2061
2020-09-10,2068
2020-09-11,2071
2020-09-12,2075
2020-09-13,2081
2020-09-14,2086
2020-09-15,2092
2020-09-16,2096
2020-09-17,2097
2020-09-18,2100
2020-09-19,2102
2020-09-21,2106
2020-09-23,2107
2020-09-24,2109
2020-09-25,2117
2020-09-26,2119
2020-09-27,2120
2020-09-28,2127
2020-09-29,2130
2020-09-30,2149
2020-10-01,2150
2020-10-02,2157
2020-10-03,2159
2020-10-04,2161
2020-10-05,2172
2020-10-06,2175
2020-10-07,2178
2020-10-08,2189
2020-10-09,2197
2020-10-10,2199
2020-10-11,2220
2020-10-12,2221
2020-10-13,2223
2020-10-14,2225
2020-10-15,2243
2020-10-16,2244
2020-10-17,2247
2020-10-18,2248
2020-10-19,2251
2020-10-20,2262
2020-10-21,2269
2020-10-22,2274
2020-10-23,2276
2020-10-24,2277
2020-10-25,2280
2020-10-26,2281
2020-10-27,2284
2020-10-28,2286
2020-10-29,2292
