date,cases
2020-03-26,1
2020-05-03,4
2020-05-04,7
2020-05-07,10
2020-05-09,11
2020-05-14,12
2020-05-16,13
2020-05-21,17
2020-05-23,18
2020-05-26,19
2020-05-28,23
2020-06-01,25
2020-06-04,30
2020-06-05,32
2020-06-06,34
2020-06-07,36
2020-06-08,44
2020-06-09,45
2020-06-10,49
2020-06-11,51
2020-06-12,53
2020-06-13,57
2020-06-14,60
2020-06-15,70
2020-06-16,71
2020-06-17,73
2020-06-18,77
2020-06-19,80
2020-06-20,86
2020-06-21,93
2020-06-23,104
2020-06-24,134
2020-06-25,144
2020-06-26,146
2020-06-27,147
2020-06-28,149
2020-06-29,151
2020-06-30,167
2020-07-01,175
2020-07-02,184
2020-07-03,191
2020-07-04,195
2020-07-05,199
2020-07-06,211
2020-07-07,216
2020-07-08,225
2020-07-09,227
2020-07-10,229
2020-07-11,230
2020-07-12,231
2020-07-13,236
2020-07-14,238
2020-07-15,247
2020-07-16,248
2020-07-17,252
2020-07-18,256
2020-07-19,258
2020-07-21,261
2020-07-23,266
2020-07-24,282
2020-07-25,292
2020-07-26,296
2020-07-27,300
2020-07-28,308
2020-07-29,309
2020-07-30,314
2020-07-31,320
2020-08-01,321
2020-08-03,363
2020-08-04,432
2020-08-05,437
2020-08-06,441
2020-08-08,442
2020-08-10,443
2020-08-12,444
2020-08-13,447
2020-08-14,449
2020-08-16,451
2020-08-19,454
2020-08-24,455
2020-08-25,456
2020-08-26,457
2020-08-27,458
2020-08-28,460
2020-08-29,461
2020-09-01,462
2020-09-08,463
2020-09-09,465
2020-09-12,469
2020-09-13,471
2020-09-14,480
2020-09-15,483
2020-09-16,484
2020-09-23,485
2020-09-27,486
2020-09-28,488
2020-09-29,493
2020-10-02,494
2020-10-03,496
2020-10-05,502
2020-10-06,503
2020-10-07,508
2020-10-12,509
2020-10-13,513
2020-10-14,514
2020-10-17,515
2020-10-20,516
2020-10-21,518
2020-10-26,519
