date,cases
2020-03-14,1
2020-03-20,2
2020-03-25,3
2020-03-28,4
2020-03-31,5
2020-04-02,6
2020-04-11,7
2020-05-04,8
2020-05-23,9
2020-05-24,11
2020-05-26,13
2020-05-27,14
2020-05-31,15
2020-06-01,16
2020-06-02,17
2020-06-03,18
2020-06-07,19
2020-06-08,20
2020-06-09,25
2020-06-10,27
2020-06-11,31
2020-06-12,35
2020-06-13,41
2020-06-15,49
2020-06-16,55
2020-06-17,68
2020-06-18,77
2020-06-19,80
2020-06-20,81
2020-06-21,83
2020-06-22,84
2020-06-23,92
2020-06-24,96
2020-06-25,98
2020-06-26,106
2020-06-27,110
2020-06-28,118
2020-06-29,122
2020-06-30,130
2020-07-01,138
2020-07-02,145
2020-07-03,152
2020-07-04,160
2020-07-05,171
2020-07-06,194
2020-07-07,203
2020-07-08,220
2020-07-09,232
2020-07-10,261
2020-07-11,276
2020-07-12,291
2020-07-13,318
2020-07-14,348
2020-07-15,371
2020-07-16,414
2020-07-17,458
2020-07-18,499
2020-07-19,519
2020-07-20,556
2020-07-21,599
2020-07-22,647
2020-07-23,707
2020-07-24,782
2020-07-25,838
2020-07-26,854
2020-07-27,934
2020-07-28,1051
2020-07-29,1104
2020-07-30,1191
2020-07-31,1306
2020-08-01,1370
2020-08-02,1412
2020-08-03,1480
2020-08-04,1549
2020-08-05,1622
2020-08-06,1711
2020-08-07,1798
2020-08-08,1879
2020-08-09,1937
2020-08-10,2034
2020-08-11,2118
2020-08-12,2202
2020-08-13,2295
2020-08-14,2366
2020-08-15,2417
2020-08-16,2475
2020-08-17,2515
2020-08-18,2604
2020-08-19,2703
2020-08-20,2788
2020-08-21,2893
2020-08-22,2966
2020-08-23,2996
2020-08-24,3161
2020-08-25,3252
2020-08-26,3310
2020-08-27,3381
2020-08-28,3446
2020-08-29,3501
2020-08-30,3540
2020-08-31,3614
2020-09-01,3684
2020-09-02,3738
2020-09-03,3780
2020-09-04,3822
2020-09-05,3865
2020-09-06,3884
2020-09-07,3934
2020-09-08,3985
2020-09-09,4043
2020-09-10,4106
2020-09-11,4151
2020-09-12,4200
2020-09-13,4218
2020-09-14,4287
2020-09-15,4359
2020-09-16,4400
2020-09-17,4461
2020-09-18,4531
2020-09-19,4564
2020-09-20,4595
2020-09-21,4670
2020-09-22,4728
2020-09-23,4764
2020-09-24,4813
2020-09-25,4849
2020-09-26,4900
2020-09-27,4927
2020-09-28,5001
2020-09-29,5047
2020-09-30,5098
2020-10-01,5154
2020-10-02,5207
2020-10-03,5250
2020-10-04,5277
2020-10-05,5344
2020-10-06,5416
2020-10-07,5491
2020-10-08,5536
2020-10-09,5582
2020-10-10,5613
2020-10-11,5642
2020-10-12,5653
2020-10-13,5706
2020-10-14,5740
2020-10-15,5795
2020-10-16,5834
2020-10-17,5859
2020-10-18,5880
2020-10-19,5962
2020-10-20,6036
2020-10-21,6091
2020-10-22,6160
2020-10-23,6221
2020-10-24,6281
2020-10-25,6356
2020-10-26,6436
2020-10-27,6487
2020-10-28,6529
2020-10-29,6566
2020-10-30,6626
2020-10-31,6668
2020-11-01,6713
2020-11-02,6743
2020-11-03,6803
2020-11-04,6848
2020-11-05,6887
2020-11-06,6942
2020-11-07,6995
2020-11-08,7044
2020-11-09,7109
2020-11-10,7165
2020-11-11,7219
2020-11-12,7295
2020-11-13,7361
2020-11-14,7403
2020-11-15,7435
2020-11-16,7470
2020-11-17,7530
2020-11-18,7572
2020-11-19,7646
2020-11-20,7736
2020-11-21,7771
2020-11-22,7796
2020-11-23,7897
2020-11-24,7951
2020-11-25,7985
2020-11-26,8050
2020-11-27,8115
2020-11-28,8151
2020-11-29,8163
2020-11-30,8238
2020-12-01,8297
2020-12-02,8333
2020-12-03,8380
2020-12-04,8449
2020-12-05,8511
2020-12-06,8548
2020-12-07,8643
2020-12-08,8686
2020-12-09,8762
2020-12-10,8867
2020-12-11,8954
2020-12-12,9002
2020-12-13,9052
2020-12-14,9143
2020-12-15,9233
2020-12-16,9282
2020-12-17,9352
2020-12-18,9428
2020-12-19,9490
2020-12-20,9530
2020-12-21,9593
2020-12-22,9654
2020-12-23,9720
2020-12-24,9738
2020-12-25,9750
2020-12-26,9768
2020-12-27,9772
2020-12-28,9780
