date,cases
2020-05-28,1
2020-07-10,2
2020-07-17,4
2020-07-18,5
2020-07-19,6
2020-07-21,7
2020-07-22,9
2020-07-24,12
2020-07-27,17
2020-07-28,21
2020-07-30,25
2020-07-31,26
2020-08-01,28
2020-08-02,29
2020-08-03,32
2020-08-04,33
2020-08-05,34
2020-08-06,37
2020-08-08,41
2020-08-09,42
2020-08-10,47
2020-08-11,53
2020-08-13,57
2020-08-14,60
2020-08-15,61
2020-08-18,65
2020-08-20,68
2020-08-21,71
2020-08-22,74
2020-08-24,79
2020-08-25,81
2020-08-26,82
2020-08-27,83
2020-08-28,86
2020-08-29,90
2020-08-30,93
2020-08-31,96
2020-09-01,98
2020-09-02,101
2020-09-03,106
2020-09-04,108
2020-09-05,113
2020-09-06,118
2020-09-08,125
2020-09-09,127
2020-09-10,128
2020-09-11,133
2020-09-12,137
2020-09-13,139
2020-09-14,141
2020-09-15,146
2020-09-16,151
2020-09-17,157
2020-09-18,165
2020-09-19,170
2020-09-20,173
2020-09-21,179
2020-09-22,188
2020-09-23,195
2020-09-24,205
2020-09-25,210
2020-09-26,213
2020-09-27,219
2020-09-28,231
2020-09-29,235
2020-09-30,243
2020-10-01,247
2020-10-02,249
2020-10-03,259
2020-10-04,260
2020-10-05,261
2020-10-06,267
2020-10-07,273
2020-10-08,277
2020-10-09,282
2020-10-11,283
2020-10-12,288
2020-10-13,298
2020-10-14,304
2020-10-15,310
2020-10-16,315
2020-10-18,316
2020-10-19,321
2020-10-20,329
2020-10-21,335
2020-10-22,345
2020-10-24,346
2020-10-25,349
2020-10-26,351
2020-10-27,366
2020-10-28,367
2020-10-29,369
2020-10-30,375
2020-11-03,379
2020-11-04,380
2020-11-05,382
2020-11-06,383
2020-11-09,392
2020-11-10,394
2020-11-11,397
2020-11-12,402
2020-11-14,403
2020-11-18,404
2020-11-19,405
2020-11-20,412
2020-11-23,415
2020-11-24,419
2020-11-25,420
2020-11-26,423
