date,cases
2020-05-07,1
2020-05-09,5
2020-05-11,7
2020-05-12,8
2020-05-24,9
2020-06-24,10
2020-07-07,11
2020-07-09,13
2020-07-14,15
2020-07-15,16
2020-07-17,18
2020-07-23,20
2020-07-24,21
2020-07-25,22
2020-07-28,23
2020-07-30,24
2020-07-31,25
2020-08-01,26
2020-08-03,30
2020-08-04,36
2020-08-06,37
2020-08-07,41
2020-08-08,42
2020-08-10,45
2020-08-11,58
2020-08-12,59
2020-08-13,61
2020-08-14,64
2020-08-16,67
2020-08-17,68
2020-08-18,70
2020-08-19,71
2020-08-20,74
2020-08-21,75
2020-08-22,79
2020-08-23,80
2020-08-24,89
2020-08-25,93
2020-08-26,94
2020-08-27,97
2020-08-28,100
2020-08-30,101
2020-08-31,106
2020-09-01,108
2020-09-02,111
2020-09-03,112
2020-09-04,113
2020-09-05,114
2020-09-06,115
2020-09-07,122
2020-09-08,124
2020-09-10,125
2020-09-11,130
2020-09-12,132
2020-09-13,136
2020-09-14,137
2020-09-15,141
2020-09-17,144
2020-09-20,145
2020-09-21,149
2020-09-22,151
2020-09-23,153
2020-09-25,155
2020-09-26,156
2020-09-27,159
2020-09-28,163
2020-09-29,165
2020-09-30,166
2020-10-02,167
2020-10-03,168
2020-10-05,172
2020-10-07,174
2020-10-08,176
2020-10-09,180
2020-10-10,181
2020-10-11,182
2020-10-13,186
2020-10-14,187
2020-10-15,188
2020-10-16,189
2020-10-17,190
2020-10-19,194
2020-10-20,197
2020-10-21,199
2020-10-22,200
2020-10-23,201
2020-10-24,202
2020-10-25,203
2020-10-26,205
2020-10-27,206
2020-10-28,208
2020-10-29,210
2020-10-30,212
2020-10-31,214
2020-11-03,215
2020-11-04,219
2020-11-09,222
2020-11-10,223
2020-11-14,224
2020-11-18,226
2020-11-19,227
2020-11-20,232
