date,cases
2020-04-24,1
2020-06-08,2
2020-07-12,3
2020-07-16,10
2020-07-21,14
2020-07-23,15
2020-07-24,16
2020-07-26,17
2020-07-28,18
2020-07-29,19
2020-07-30,20
2020-08-03,22
2020-08-04,24
2020-08-22,25
2020-08-28,26
2020-08-30,35
2020-09-01,37
2020-09-02,38
2020-09-06,39
2020-09-11,42
2020-09-14,43
2020-09-22,44
2020-09-23,45
2020-09-25,46
2020-09-26,50
2020-09-29,51
2020-09-30,52
2020-10-03,53
2020-10-04,54
2020-10-06,58
2020-10-18,61
2020-10-19,63
2020-10-21,64
2020-10-23,65
2020-10-25,67
2020-10-26,69
2020-10-27,70
2020-10-28,71
2020-10-31,72
2020-11-06,74
2020-11-08,75
2020-11-10,76
2020-11-11,77
2020-11-12,90
2020-11-17,92
2020-11-18,94
2020-11-19,97
2020-11-20,98
2020-11-21,99
2020-11-23,102
2020-11-25,105
2020-11-26,108
2020-11-27,109
2020-11-30,115
2020-12-03,116
