date,cases
2020-08-21,1
2020-08-28,2
2020-09-09,3
2020-09-18,4
2020-09-21,6
2020-09-24,7
2020-09-25,8
2020-09-27,12
2020-10-08,16
2020-10-15,17
2020-10-18,19
2020-10-22,20
2020-10-23,29
2020-10-24,30
2020-10-25,31
2020-10-26,32
2020-10-29,46
2020-10-30,47
2020-10-31,48
2020-11-03,49
2020-11-04,52
2020-11-05,56
2020-11-06,57
2020-11-07,67
2020-11-11,68
2020-11-12,74
2020-11-13,75
2020-11-14,77
2020-11-15,78
2020-11-16,80
2020-11-17,82
2020-11-18,89
2020-11-19,95
2020-11-20,97
2020-11-21,99
2020-11-22,100
2020-11-24,102
2020-11-25,110
2020-11-26,123
2020-11-27,129
2020-12-01,130
2020-12-02,134
2020-12-03,137
2020-12-04,141
2020-12-07,145
2020-12-09,147
2020-12-10,148
2020-12-11,149
2020-12-18,150
