date,deaths
2020-07-11,1
2020-07-18,2
2020-07-22,5
2020-07-23,6
2020-07-25,7
2020-07-28,8
2020-08-06,9
2020-08-07,10
2020-08-08,11
2020-08-10,12
2020-08-12,13
2020-08-13,15
2020-08-16,16
2020-08-21,17
2020-08-22,18
2020-08-24,19
2020-08-29,20
2020-08-31,21
2020-09-01,22
2020-09-02,23
2020-09-05,24
2020-09-06,25
2020-09-08,26
2020-09-10,28
2020-09-19,29
2020-09-21,30
2020-09-22,31
2020-09-24,32
2020-09-25,34
2020-09-26,35
2020-09-27,37
2020-09-28,38
2020-09-29,39
2020-10-02,42
2020-10-04,43
2020-10-06,44
2020-10-08,45
2020-10-11,46
2020-10-12,47
2020-10-13,48
2020-10-21,49
2020-10-24,50
2020-10-27,51
