date,deaths
2020-03-20,1
2020-03-24,2
2020-03-26,3
2020-03-31,5
2020-04-03,7
2020-04-04,8
2020-04-05,9
2020-04-06,10
2020-04-07,11
2020-04-09,12
2020-04-10,13
2020-04-14,15
2020-04-17,16
2020-04-18,19
2020-04-20,20
2020-04-25,21
2020-04-30,22
2020-05-05,23
2020-05-09,24
2020-05-17,25
2020-05-18,26
2020-05-22,27
2020-05-23,28
2020-05-27,29
2020-05-31,32
2020-06-01,33
2020-06-03,34
2020-06-04,35
2020-06-05,36
2020-06-06,37
2020-06-08,38
2020-06-09,40
2020-06-10,41
2020-06-11,44
2020-06-12,46
2020-06-13,48
2020-06-14,51
2020-06-15,55
2020-06-16,56
2020-06-17,58
2020-06-18,61
2020-06-19,65
2020-06-20,68
2020-06-21,72
2020-06-22,74
2020-06-23,75
2020-06-24,81
2020-06-25,87
2020-06-26,89
2020-06-27,91
2020-06-28,94
2020-06-29,99
2020-06-30,108
2020-07-01,117
2020-07-02,123
2020-07-03,131
2020-07-04,135
2020-07-05,141
2020-07-06,148
2020-07-07,152
2020-07-08,163
2020-07-09,165
2020-07-10,170
2020-07-11,175
2020-07-12,176
2020-07-13,180
2020-07-14,189
2020-07-15,196
2020-07-16,201
2020-07-17,209
2020-07-18,212
2020-07-19,216
2020-07-20,222
2020-07-21,233
2020-07-22,244
2020-07-23,248
2020-07-24,254
2020-07-25,257
2020-07-26,261
2020-07-27,266
2020-07-28,278
2020-07-29,284
2020-07-30,291
2020-07-31,294
2020-08-01,308
2020-08-02,317
2020-08-03,323
2020-08-04,331
2020-08-05,339
2020-08-06,343
2020-08-07,348
2020-08-08,352
2020-08-09,356
2020-08-10,367
2020-08-11,378
2020-08-12,381
2020-08-13,384
2020-08-14,390
2020-08-15,393
2020-08-16,399
2020-08-17,405
2020-08-18,411
2020-08-19,417
2020-08-20,419
2020-08-21,421
2020-08-22,427
2020-08-23,428
2020-08-24,432
2020-08-25,434
2020-08-26,438
2020-08-27,440
2020-08-28,446
2020-08-29,452
2020-08-30,454
2020-08-31,456
2020-09-01,459
2020-09-02,460
2020-09-03,464
2020-09-04,465
2020-09-05,469
2020-09-06,471
2020-09-07,472
2020-09-08,474
2020-09-09,475
2020-09-11,479
2020-09-12,481
2020-09-13,484
2020-09-16,486
2020-09-17,490
2020-09-18,492
2020-09-19,494
2020-09-20,495
2020-09-21,497
2020-09-22,498
2020-09-24,500
2020-09-25,501
2020-09-26,502
2020-09-28,503
2020-09-30,504
2020-10-02,506
2020-10-03,507
2020-10-04,508
2020-10-05,509
2020-10-06,510
2020-10-07,511
2020-10-10,512
2020-10-12,513
2020-10-13,514
2020-10-14,515
2020-10-16,516
2020-10-17,517
2020-10-19,520
2020-10-20,521
2020-10-22,522
2020-10-23,523
2020-10-27,524
2020-10-30,525
2020-10-31,526
2020-11-01,528
2020-11-03,531
2020-11-05,532
2020-11-06,534
2020-11-07,536
2020-11-09,537
2020-11-10,539
2020-11-12,540
2020-11-13,542
2020-11-14,543
2020-11-15,548
2020-11-16,549
2020-11-17,551
2020-11-18,554
2020-11-19,556
2020-11-20,559
2020-11-21,560
2020-11-23,563
2020-11-25,566
2020-11-26,567
2020-11-29,569
2020-11-30,570
2020-12-01,573
2020-12-02,575
2020-12-03,576
2020-12-05,578
2020-12-08,579
2020-12-09,580
2020-12-10,581
2020-12-11,583
2020-12-12,584
2020-12-14,586
2020-12-15,588
2020-12-17,589
2020-12-21,592
2020-12-22,593
