date,deaths
2020-04-28,1
2020-05-09,2
2020-06-08,3
2020-06-16,4
2020-06-27,5
2020-07-08,6
2020-07-10,8
2020-07-14,9
2020-07-18,10
2020-07-19,11
2020-07-25,12
2020-07-26,13
2020-07-28,14
2020-07-31,15
2020-08-01,17
2020-08-02,18
2020-08-05,20
2020-08-06,22
2020-08-07,28
2020-08-08,29
2020-08-09,30
2020-08-10,32
2020-08-11,33
2020-08-12,35
2020-08-14,36
2020-08-15,39
2020-08-16,45
2020-08-17,48
2020-08-20,50
2020-08-21,55
2020-08-22,57
2020-08-24,60
2020-08-25,61
2020-08-26,62
2020-08-27,63
2020-08-30,65
2020-09-01,67
2020-09-02,68
2020-09-04,69
2020-09-06,72
2020-09-07,73
2020-09-09,78
2020-09-10,80
2020-09-12,81
2020-09-13,83
2020-09-14,85
2020-09-15,87
2020-09-16,89
2020-09-17,90
2020-09-18,94
2020-09-19,95
2020-09-20,98
2020-09-21,100
2020-09-23,101
2020-09-25,104
2020-09-26,105
2020-09-27,107
2020-09-28,110
2020-09-29,111
2020-09-30,112
2020-10-01,116
2020-10-02,120
2020-10-03,123
2020-10-05,129
2020-10-06,131
2020-10-07,132
2020-10-08,135
2020-10-10,139
2020-10-11,141
2020-10-12,148
2020-10-13,152
2020-10-14,159
2020-10-15,162
2020-10-16,164
2020-10-17,168
2020-10-18,171
2020-10-19,175
2020-10-20,184
2020-10-21,194
2020-10-22,201
2020-10-23,205
2020-10-24,211
2020-10-25,214
2020-10-26,221
2020-10-27,232
2020-10-28,238
2020-10-29,241
2020-10-30,244
2020-10-31,251
2020-11-01,255
2020-11-02,257
2020-11-03,259
2020-11-04,266
2020-11-05,271
2020-11-06,276
2020-11-07,277
2020-11-08,282
2020-11-10,287
2020-11-11,289
2020-11-12,293
2020-11-13,295
2020-11-14,297
2020-11-16,300
2020-11-17,301
2020-11-18,303
2020-11-19,305
2020-11-20,306
2020-11-21,308
2020-11-22,309
2020-11-25,310
2020-11-27,311
