date,deaths
2020-07-15,1
2020-07-17,2
2020-07-21,3
2020-07-27,4
2020-07-29,5
2020-08-01,6
2020-08-04,7
2020-08-06,8
2020-08-12,10
2020-08-15,11
2020-08-19,12
2020-08-22,13
2020-08-23,15
2020-08-26,17
2020-08-27,19
2020-09-03,20
2020-09-04,21
2020-09-05,23
2020-09-06,24
2020-09-09,25
2020-09-13,26
2020-09-14,27
2020-09-15,29
2020-09-16,30
2020-09-19,31
2020-09-21,32
2020-09-22,34
2020-09-23,35
2020-09-26,37
2020-09-30,38
2020-10-03,40
2020-10-04,41
2020-10-06,43
2020-10-08,46
2020-10-11,47
2020-10-12,48
2020-10-14,49
2020-10-20,50
2020-10-23,53
2020-10-24,55
2020-10-26,56
2020-10-28,57
2020-10-29,61
2020-10-30,62
2020-11-01,64
2020-11-02,66
2020-11-03,69
2020-11-05,70
2020-11-08,72
2020-11-11,73
2020-11-12,74
2020-11-13,75
2020-11-17,76
2020-11-18,77
2020-11-22,78
2020-11-23,79
2020-11-25,80
