date,deaths
2020-07-07,1
2020-07-08,1
2020-07-15,1
2020-07-17,1
2020-07-20,1
2020-07-25,1
2020-07-27,1
2020-07-28,1
2020-07-30,2
2020-07-31,1
2020-08-02,1
2020-08-06,1
2020-08-09,2
2020-08-11,1
2020-08-13,1
2020-08-18,1
2020-08-21,1
2020-08-22,1
2020-08-24,2
2020-08-26,1
2020-08-27,3
2020-08-29,1
2020-09-04,1
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-11,1
2020-09-13,1
2020-09-14,1
2020-09-15,1
2020-09-16,2
2020-09-18,1
2020-09-25,1
2020-09-26,1
2020-09-30,1
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-08,1
2020-10-09,1
2020-10-12,1
2020-10-16,1
2020-10-20,1
2020-10-27,1
