date,cases
2020-03-30,1
2020-04-03,1
2020-04-06,1
2020-04-09,1
2020-04-10,1
2020-04-24,1
2020-05-07,1
2020-05-11,1
2020-05-16,6
2020-05-18,1
2020-05-19,1
2020-05-20,2
2020-05-25,1
2020-05-27,1
2020-05-28,1
2020-05-30,1
2020-06-01,9
2020-06-02,18
2020-06-03,4
2020-06-04,2
2020-06-05,19
2020-06-06,5
2020-06-08,21
2020-06-09,11
2020-06-10,2
2020-06-11,8
2020-06-12,3
2020-06-13,1
2020-06-16,3
2020-06-17,9
2020-06-18,75
2020-06-19,4
2020-06-21,1
2020-06-22,1
2020-06-23,12
2020-06-24,11
2020-06-25,13
2020-06-26,18
2020-06-27,17
2020-06-28,2
2020-06-29,11
2020-06-30,67
2020-07-01,11
2020-07-02,4
2020-07-03,13
2020-07-04,9
2020-07-05,4
2020-07-06,21
2020-07-07,8
2020-07-08,12
2020-07-09,12
2020-07-10,27
2020-07-11,11
2020-07-12,14
2020-07-13,28
2020-07-14,27
2020-07-15,14
2020-07-16,21
2020-07-17,26
2020-07-18,25
2020-07-19,14
2020-07-20,27
2020-07-21,38
2020-07-22,65
2020-07-23,32
2020-07-24,65
2020-07-25,79
2020-07-26,35
2020-07-27,45
2020-07-28,54
2020-07-29,36
2020-07-30,40
2020-07-31,41
2020-08-01,47
2020-08-02,31
2020-08-03,29
2020-08-04,58
2020-08-05,75
2020-08-06,63
2020-08-07,40
2020-08-08,83
2020-08-09,29
2020-08-10,91
2020-08-11,65
2020-08-12,51
2020-08-13,73
2020-08-14,74
2020-08-15,74
2020-08-16,27
2020-08-17,37
2020-08-18,94
2020-08-19,75
2020-08-20,107
2020-08-21,90
2020-08-22,84
2020-08-23,25
2020-08-24,257
2020-08-25,149
2020-08-26,203
2020-08-27,90
2020-08-28,100
2020-08-29,66
2020-08-30,44
2020-08-31,88
2020-09-01,143
2020-09-02,71
2020-09-03,109
2020-09-04,109
2020-09-05,63
2020-09-06,41
2020-09-07,115
2020-09-08,145
2020-09-09,100
2020-09-10,126
2020-09-11,66
2020-09-12,100
2020-09-13,73
2020-09-14,105
2020-09-15,221
2020-09-16,63
2020-09-17,59
2020-09-18,92
2020-09-19,55
2020-09-20,30
2020-09-21,92
2020-09-22,95
2020-09-23,66
2020-09-24,45
2020-09-25,94
2020-09-26,69
2020-09-27,36
2020-09-28,95
2020-09-29,76
2020-09-30,73
2020-10-01,69
2020-10-02,129
2020-10-03,51
2020-10-04,12
2020-10-05,118
2020-10-06,108
2020-10-07,100
2020-10-08,97
2020-10-09,118
2020-10-10,40
2020-10-11,21
2020-10-12,36
2020-10-13,83
2020-10-14,58
2020-10-15,78
2020-10-16,94
2020-10-17,36
2020-10-18,31
2020-10-19,62
2020-10-20,67
2020-10-21,68
2020-10-22,56
2020-10-23,86
2020-10-24,61
2020-10-25,59
2020-10-26,90
2020-10-27,92
2020-10-28,36
2020-10-29,26
2020-10-30,43
2020-10-31,20
2020-11-01,21
2020-11-02,29
2020-11-03,54
2020-11-04,15
2020-11-05,25
2020-11-06,52
2020-11-07,25
2020-11-08,28
2020-11-09,58
2020-11-10,41
2020-11-11,12
2020-11-12,52
2020-11-13,50
2020-11-14,28
2020-11-15,11
2020-11-16,8
2020-11-17,13
2020-11-18,19
2020-11-19,34
2020-11-20,20
2020-11-21,18
2020-11-22,5
2020-11-23,40
2020-11-24,6
2020-11-25,38
2020-11-26,32
2020-11-27,9
2020-11-28,1
