date,cases
2020-06-19,1
2020-07-03,1
2020-07-23,1
2020-07-24,1
2020-07-26,1
2020-07-28,5
2020-07-29,1
2020-07-30,3
2020-07-31,2
2020-08-01,1
2020-08-02,1
2020-08-04,1
2020-08-05,3
2020-08-06,1
2020-08-07,5
2020-08-09,1
2020-08-10,2
2020-08-11,1
2020-08-12,3
2020-08-13,2
2020-08-14,3
2020-08-15,1
2020-08-16,2
2020-08-17,5
2020-08-18,2
2020-08-19,7
2020-08-20,9
2020-08-21,2
2020-08-22,1
2020-08-23,10
2020-08-24,2
2020-08-26,13
2020-08-28,15
2020-08-29,8
2020-08-30,4
2020-08-31,6
2020-09-01,9
2020-09-02,7
2020-09-03,14
2020-09-04,11
2020-09-05,3
2020-09-06,13
2020-09-07,8
2020-09-08,2
2020-09-09,1
2020-09-10,7
2020-09-11,7
2020-09-12,4
2020-09-13,4
2020-09-14,4
2020-09-15,5
2020-09-17,2
2020-09-19,2
2020-09-20,2
2020-09-21,9
2020-09-22,4
2020-09-24,3
2020-09-25,5
2020-09-26,2
2020-09-27,3
2020-09-28,2
2020-09-29,2
2020-10-03,1
2020-10-05,2
2020-10-06,4
2020-10-07,2
2020-10-08,2
2020-10-09,1
2020-10-10,1
2020-10-11,1
2020-10-15,1
2020-10-16,1
2020-10-18,2
2020-10-19,1
2020-10-20,1
2020-10-21,3
2020-10-22,1
2020-10-23,5
2020-10-24,2
2020-10-25,1
2020-10-26,3
2020-10-27,1
2020-10-28,3
2020-10-29,2
2020-10-31,1
2020-11-03,9
2020-11-04,2
2020-11-05,3
2020-11-06,3
2020-11-10,3
2020-11-11,3
2020-11-12,5
2020-11-13,2
2020-11-15,5
2020-11-17,2
2020-11-18,2
2020-11-19,1
2020-11-20,1
2020-11-21,1
2020-11-24,1
2020-11-30,4
2020-12-01,5
2020-12-02,1
2020-12-04,4
2020-12-05,5
2020-12-07,4
2020-12-08,1
2020-12-09,2
2020-12-10,4
2020-12-11,2
2020-12-14,1
2020-12-15,2
