date,cases
2020-05-11,2
2020-05-18,1
2020-05-20,2
2020-05-25,3
2020-07-08,1
2020-07-17,1
2020-07-20,1
2020-07-21,3
2020-07-23,1
2020-07-29,2
2020-08-01,2
2020-08-02,1
2020-08-03,1
2020-08-06,4
2020-08-08,1
2020-08-09,2
2020-08-10,11
2020-08-11,6
2020-08-12,6
2020-08-13,18
2020-08-14,1
2020-08-15,2
2020-08-16,2
2020-08-17,1
2020-08-18,1
2020-08-19,2
2020-08-20,2
2020-08-21,8
2020-08-23,2
2020-08-24,1
2020-08-25,2
2020-08-27,1
2020-08-28,2
2020-08-29,3
2020-08-30,2
2020-08-31,1
2020-09-02,1
2020-09-11,1
2020-09-12,1
2020-09-17,2
2020-09-19,1
2020-09-21,3
2020-09-27,3
2020-09-29,2
2020-10-01,2
2020-10-05,2
2020-10-07,2
2020-10-08,4
2020-10-09,1
2020-10-10,1
2020-10-12,3
2020-10-13,1
2020-10-15,1
2020-10-16,1
2020-10-17,4
2020-10-18,1
2020-10-21,2
2020-10-22,3
2020-10-23,1
2020-10-25,1
2020-10-27,6
2020-10-28,1
2020-10-30,1
