date,cases
2020-07-11,1
2020-07-14,1
2020-07-16,2
2020-07-19,1
2020-07-22,1
2020-07-28,1
2020-07-29,1
2020-07-31,2
2020-08-01,2
2020-08-03,4
2020-08-06,2
2020-08-10,1
2020-08-14,1
2020-08-16,4
2020-08-17,2
2020-08-19,1
2020-08-23,1
2020-08-24,1
2020-08-25,10
2020-08-26,2
2020-08-31,3
2020-09-01,1
2020-09-04,1
2020-09-05,1
2020-09-10,2
2020-09-15,1
2020-09-16,2
2020-09-17,2
2020-09-18,1
2020-09-21,5
2020-09-22,1
2020-09-23,2
2020-09-28,5
2020-09-29,3
2020-09-30,3
2020-10-02,1
2020-10-03,2
2020-10-04,1
2020-10-05,4
2020-10-06,1
2020-10-07,1
2020-10-14,3
2020-10-15,3
2020-10-16,2
2020-10-19,1
2020-10-20,1
2020-10-21,5
2020-10-22,1
2020-10-23,1
2020-10-26,3
2020-10-27,1
2020-10-28,3
2020-10-30,1
2020-11-04,2
2020-11-05,5
2020-11-06,4
2020-11-08,4
2020-11-09,3
2020-11-10,2
2020-11-11,4
2020-11-12,1
2020-11-13,3
2020-11-14,1
2020-11-15,1
2020-11-16,11
2020-11-17,1
2020-11-19,3
2020-11-20,1
2020-11-21,5
2020-11-22,2
2020-11-23,7
2020-11-24,4
2020-11-25,7
2020-11-26,4
2020-11-27,3
2020-11-28,1
2020-11-29,3
2020-11-30,3
2020-12-01,2
2020-12-02,6
2020-12-03,5
2020-12-04,2
2020-12-05,9
2020-12-06,7
2020-12-07,7
2020-12-08,2
2020-12-09,6
2020-12-10,8
2020-12-11,5
2020-12-12,4
2020-12-13,4
2020-12-14,5
2020-12-15,8
2020-12-16,2
2020-12-17,8
2020-12-19,2
2020-12-20,2
2020-12-21,2
2020-12-22,7
2020-12-23,3
2020-12-25,1
