date,cases
2020-05-27,1
2020-05-30,1
2020-06-12,4
2020-06-17,2
2020-06-20,1
2020-06-23,1
2020-06-25,2
2020-07-02,1
2020-07-04,2
2020-07-07,2
2020-07-08,1
2020-07-09,3
2020-07-15,5
2020-07-17,1
2020-07-18,1
2020-07-30,3
2020-07-31,1
2020-08-01,1
2020-08-07,2
2020-08-10,1
2020-08-12,1
2020-08-15,1
2020-08-20,1
2020-08-21,1
2020-08-22,1
2020-08-24,2
2020-08-29,6
2020-08-31,2
2020-09-01,1
2020-09-04,2
2020-09-05,1
2020-09-07,1
2020-09-09,1
2020-09-10,3
2020-09-11,3
2020-09-14,1
2020-09-25,1
2020-09-28,1
2020-09-30,5
2020-10-04,2
2020-10-05,1
2020-10-07,1
2020-10-08,1
2020-10-09,2
2020-10-14,1
2020-10-17,1
2020-10-20,2
2020-10-22,3
2020-10-27,2
2020-10-29,3
2020-10-30,1
