date,cases
2020-07-08,1
2020-07-11,1
2020-07-15,1
2020-07-16,1
2020-07-25,2
2020-08-02,1
2020-08-03,1
2020-08-05,3
2020-08-16,1
2020-09-03,2
2020-09-19,1
2020-09-21,2
2020-09-22,1
2020-10-01,1
2020-10-02,1
2020-10-03,1
2020-10-05,2
2020-10-08,3
2020-10-09,1
2020-10-11,1
2020-10-15,2
2020-10-19,1
2020-10-20,2
2020-10-21,1
2020-10-23,2
2020-10-24,3
2020-10-25,1
2020-10-26,1
2020-10-28,2
2020-10-29,3
2020-10-31,1
2020-11-01,2
2020-11-02,12
2020-11-03,5
2020-11-05,1
2020-11-06,2
2020-11-08,1
2020-11-12,7
2020-11-22,3
2020-11-23,2
2020-11-24,1
2020-11-26,1
2020-11-27,1
2020-12-02,1
2020-12-03,1
2020-12-05,3
2020-12-07,2
2020-12-10,1
2020-12-11,3
2020-12-13,1
2020-12-14,2
2020-12-16,2
2020-12-17,2
2020-12-18,1
2020-12-19,3
2020-12-20,1
2020-12-21,2
2020-12-23,4
2020-12-28,1
2020-12-29,3
2020-12-30,2
