date,cases
2020-03-13,1
2020-03-15,3
2020-03-17,2
2020-03-18,2
2020-03-21,3
2020-03-22,2
2020-03-24,1
2020-03-25,2
2020-03-26,1
2020-03-27,3
2020-03-28,2
2020-03-29,3
2020-03-31,1
2020-04-02,2
2020-04-04,1
2020-04-06,1
2020-04-08,1
2020-04-09,9
2020-04-10,7
2020-04-14,1
2020-04-16,1
2020-04-20,1
2020-04-21,2
2020-04-22,4
2020-04-24,2
2020-04-25,1
2020-04-26,1
2020-04-27,2
2020-04-28,1
2020-04-30,1
2020-05-02,1
2020-05-04,1
2020-05-06,2
2020-05-07,5
2020-05-10,1
2020-05-11,2
2020-05-12,2
2020-05-13,1
2020-05-19,1
2020-05-20,2
2020-05-22,1
2020-05-23,1
2020-06-01,1
2020-06-03,4
2020-06-04,4
2020-06-05,3
2020-06-06,8
2020-06-07,2
2020-06-08,5
2020-06-09,4
2020-06-10,1
2020-06-11,1
2020-06-12,5
2020-06-13,5
2020-06-14,8
2020-06-15,3
2020-06-16,10
2020-06-17,3
2020-06-18,12
2020-06-19,2
2020-06-20,3
2020-06-22,3
2020-06-23,18
2020-06-24,4
2020-06-25,10
2020-06-26,14
2020-06-27,8
2020-06-28,6
2020-06-29,10
2020-06-30,15
2020-07-01,28
2020-07-02,31
2020-07-03,17
2020-07-04,25
2020-07-05,21
2020-07-06,52
2020-07-07,67
2020-07-08,54
2020-07-09,75
2020-07-10,78
2020-07-11,57
2020-07-12,61
2020-07-13,174
2020-07-14,130
2020-07-15,150
2020-07-16,163
2020-07-17,131
2020-07-18,137
2020-07-19,45
2020-07-20,62
2020-07-21,137
2020-07-22,136
2020-07-23,165
2020-07-24,152
2020-07-25,111
2020-07-26,105
2020-07-27,161
2020-07-28,183
2020-07-29,167
2020-07-30,188
2020-07-31,210
2020-08-01,129
2020-08-02,89
2020-08-03,252
2020-08-04,222
2020-08-05,182
2020-08-06,195
2020-08-07,111
2020-08-08,300
2020-08-09,72
2020-08-10,196
2020-08-11,208
2020-08-12,182
2020-08-13,202
2020-08-14,266
2020-08-15,162
2020-08-16,235
2020-08-17,116
2020-08-18,212
2020-08-19,165
2020-08-20,125
2020-08-21,139
2020-08-22,101
2020-08-23,31
2020-08-24,332
2020-08-25,112
2020-08-26,87
2020-08-27,60
2020-08-28,77
2020-08-29,84
2020-08-30,30
2020-08-31,61
2020-09-01,69
2020-09-02,54
2020-09-03,61
2020-09-04,102
2020-09-05,62
2020-09-06,40
2020-09-07,79
2020-09-08,80
2020-09-09,63
2020-09-10,78
2020-09-11,71
2020-09-12,56
2020-09-13,46
2020-09-14,97
2020-09-15,71
2020-09-16,47
2020-09-17,62
2020-09-18,82
2020-09-19,67
2020-09-20,49
2020-09-21,108
2020-09-22,106
2020-09-23,84
2020-09-24,100
2020-09-25,68
2020-09-26,76
2020-09-27,68
2020-09-28,112
2020-09-29,96
2020-09-30,69
2020-10-01,102
2020-10-02,133
2020-10-03,83
2020-10-04,59
2020-10-05,141
2020-10-06,118
2020-10-07,77
2020-10-08,116
2020-10-09,116
2020-10-10,58
2020-10-11,53
2020-10-12,49
2020-10-13,132
2020-10-14,66
2020-10-15,123
2020-10-16,119
2020-10-17,112
2020-10-18,105
2020-10-19,182
2020-10-20,225
2020-10-21,134
2020-10-22,140
2020-10-23,237
2020-10-24,202
2020-10-25,136
2020-10-26,218
2020-10-27,183
2020-10-28,121
2020-10-29,160
2020-10-30,146
2020-10-31,144
2020-11-01,95
2020-11-02,110
2020-11-03,155
2020-11-04,71
2020-11-05,105
2020-11-06,215
2020-11-07,143
2020-11-08,146
2020-11-09,253
2020-11-10,148
2020-11-11,124
2020-11-12,282
2020-11-13,255
2020-11-14,212
2020-11-15,166
2020-11-16,189
2020-11-17,194
2020-11-18,137
2020-11-19,211
2020-11-20,325
2020-11-21,177
2020-11-22,146
2020-11-23,263
2020-11-24,276
2020-11-25,205
2020-11-26,285
2020-11-27,189
2020-11-28,191
2020-11-29,67
2020-11-30,213
2020-12-01,315
2020-12-02,246
2020-12-03,302
2020-12-04,304
2020-12-05,299
2020-12-06,237
2020-12-07,291
2020-12-08,168
2020-12-09,232
2020-12-10,298
2020-12-11,393
2020-12-12,322
2020-12-13,159
2020-12-14,271
2020-12-15,395
2020-12-16,281
2020-12-17,357
2020-12-18,212
2020-12-19,205
2020-12-20,134
2020-12-21,327
2020-12-22,223
2020-12-23,171
2020-12-24,197
2020-12-25,39
2020-12-26,99
2020-12-27,38
2020-12-28,198
2020-12-29,149
2020-12-30,67
2020-12-31,35
2021-01-01,8
2021-01-02,39
2021-01-03,31
2021-01-04,118
2021-01-05,16
