date,cases
2020-03-14,1
2020-03-17,1
2020-03-20,1
2020-03-23,1
2020-03-24,4
2020-03-25,1
2020-03-27,3
2020-03-28,3
2020-03-31,1
2020-04-01,2
2020-04-04,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-11,2
2020-04-14,1
2020-04-20,1
2020-05-12,1
2020-05-18,1
2020-05-25,1
2020-05-28,1
2020-05-29,2
2020-05-30,1
2020-06-03,5
2020-06-04,1
2020-06-05,3
2020-06-06,2
2020-06-07,6
2020-06-08,3
2020-06-09,2
2020-06-10,3
2020-06-11,4
2020-06-12,2
2020-06-13,1
2020-06-14,1
2020-06-16,4
2020-06-17,1
2020-06-18,4
2020-06-19,5
2020-06-22,2
2020-06-23,6
2020-06-24,2
2020-06-25,5
2020-06-26,9
2020-06-27,6
2020-06-28,6
2020-06-29,6
2020-06-30,8
2020-07-01,20
2020-07-02,10
2020-07-03,15
2020-07-04,12
2020-07-05,15
2020-07-06,24
2020-07-07,30
2020-07-08,51
2020-07-09,40
2020-07-10,45
2020-07-11,47
2020-07-12,38
2020-07-13,63
2020-07-14,51
2020-07-15,46
2020-07-16,42
2020-07-17,56
2020-07-18,57
2020-07-19,54
2020-07-20,80
2020-07-21,65
2020-07-22,44
2020-07-23,63
2020-07-24,49
2020-07-25,43
2020-07-26,45
2020-07-27,44
2020-07-28,63
2020-07-29,48
2020-07-30,35
2020-07-31,38
2020-08-01,69
2020-08-02,26
2020-08-03,48
2020-08-04,23
2020-08-05,39
2020-08-06,37
2020-08-07,35
2020-08-08,44
2020-08-09,49
2020-08-10,33
2020-08-11,48
2020-08-12,29
2020-08-13,38
2020-08-14,33
2020-08-15,26
2020-08-16,19
2020-08-17,24
2020-08-18,40
2020-08-19,50
2020-08-20,42
2020-08-21,42
2020-08-22,37
2020-08-23,34
2020-08-24,66
2020-08-25,53
2020-08-26,36
2020-08-27,34
2020-08-28,20
2020-08-29,58
2020-08-30,50
2020-08-31,63
2020-09-01,75
2020-09-02,76
2020-09-03,46
2020-09-04,32
2020-09-05,29
2020-09-06,32
2020-09-07,56
2020-09-08,42
2020-09-09,42
2020-09-10,53
2020-09-11,79
2020-09-12,86
2020-09-13,50
2020-09-14,70
2020-09-15,55
2020-09-16,29
2020-09-17,38
2020-09-18,57
2020-09-19,63
2020-09-20,27
2020-09-21,59
2020-09-22,67
2020-09-23,80
2020-09-24,68
2020-09-25,52
2020-09-26,83
2020-09-27,98
2020-09-28,122
2020-09-29,74
2020-09-30,99
2020-10-01,83
2020-10-02,102
2020-10-03,100
2020-10-04,104
2020-10-05,145
2020-10-06,109
2020-10-07,100
2020-10-08,116
2020-10-09,115
2020-10-10,121
2020-10-11,69
2020-10-12,86
2020-10-13,166
2020-10-14,100
2020-10-15,143
2020-10-16,185
2020-10-17,112
2020-10-18,115
2020-10-19,129
2020-10-20,225
2020-10-21,139
2020-10-22,88
2020-10-23,108
2020-10-24,45
2020-10-25,17
2020-10-26,66
2020-10-27,66
2020-10-28,46
2020-10-29,42
2020-10-30,35
2020-10-31,33
2020-11-01,25
2020-11-02,3
2020-11-03,9
