date,cases
2020-05-18,1
2020-05-24,10
2020-05-27,2
2020-05-28,1
2020-05-30,6
2020-05-31,14
2020-06-01,7
2020-06-02,5
2020-06-03,10
2020-06-04,1
2020-06-06,1
2020-06-10,3
2020-06-19,1
2020-06-24,1
2020-06-25,1
2020-07-03,1
2020-07-05,1
2020-07-07,1
2020-07-08,6
2020-07-09,2
2020-07-12,1
2020-07-14,13
2020-07-15,1
2020-07-17,3
2020-07-21,1
2020-07-27,1
2020-07-28,1
2020-07-29,2
2020-07-30,1
2020-08-02,4
2020-08-04,3
2020-08-05,2
2020-08-06,1
2020-08-08,3
2020-08-10,6
2020-08-11,3
2020-08-13,3
2020-08-14,2
2020-08-16,1
2020-08-17,1
2020-08-18,2
2020-08-19,2
2020-08-20,2
2020-08-21,8
2020-08-24,3
2020-08-25,7
2020-08-26,1
2020-08-27,2
2020-08-28,1
2020-08-29,2
2020-08-31,3
2020-09-02,3
2020-09-04,2
2020-09-05,1
2020-09-07,1
2020-09-09,2
2020-09-13,1
2020-09-14,1
2020-09-23,1
2020-09-26,1
2020-09-27,1
2020-09-30,1
2020-10-01,2
2020-10-02,4
2020-10-04,1
2020-10-05,2
2020-10-06,10
2020-10-07,10
2020-10-08,15
2020-10-09,4
2020-10-10,15
2020-10-11,16
2020-10-12,2
2020-10-13,1
2020-10-14,10
2020-10-15,34
2020-10-16,19
2020-10-17,18
2020-10-19,1
2020-10-20,6
2020-10-21,2
2020-10-23,4
2020-10-24,4
2020-10-26,2
2020-10-27,5
2020-10-28,3
2020-10-29,5
2020-10-31,2
