date,cases
2020-03-18,1
2020-03-21,1
2020-03-22,1
2020-03-25,4
2020-03-26,2
2020-03-27,3
2020-03-28,1
2020-03-29,1
2020-03-30,2
2020-03-31,1
2020-04-02,1
2020-04-03,6
2020-04-04,5
2020-04-05,2
2020-04-06,1
2020-04-07,6
2020-04-08,9
2020-04-09,6
2020-04-11,2
2020-04-12,6
2020-04-13,2
2020-04-14,11
2020-04-15,3
2020-04-16,9
2020-04-17,11
2020-04-18,5
2020-04-19,2
2020-04-20,3
2020-04-21,6
2020-04-22,2
2020-04-23,3
2020-04-24,4
2020-04-25,13
2020-04-26,10
2020-04-27,11
2020-04-28,3
2020-04-29,5
2020-04-30,9
2020-05-02,2
2020-05-03,1
2020-05-04,4
2020-05-05,2
2020-05-06,8
2020-05-07,7
2020-05-08,7
2020-05-09,7
2020-05-10,1
2020-05-11,12
2020-05-12,2
2020-05-13,5
2020-05-14,9
2020-05-15,5
2020-05-16,13
2020-05-18,6
2020-05-19,14
2020-05-20,12
2020-05-21,9
2020-05-22,6
2020-05-23,8
2020-05-24,6
2020-05-25,19
2020-05-26,15
2020-05-27,16
2020-05-28,6
2020-05-29,13
2020-05-30,24
2020-05-31,3
2020-06-01,5
2020-06-02,6
2020-06-03,8
2020-06-04,7
2020-06-05,9
2020-06-06,9
2020-06-07,3
2020-06-08,21
2020-06-09,22
2020-06-10,20
2020-06-11,17
2020-06-12,15
2020-06-13,17
2020-06-14,15
2020-06-15,21
2020-06-16,42
2020-06-17,43
2020-06-18,49
2020-06-19,52
2020-06-20,57
2020-06-21,34
2020-06-22,45
2020-06-23,112
2020-06-24,99
2020-06-25,70
2020-06-26,109
2020-06-27,87
2020-06-28,70
2020-06-29,103
2020-06-30,123
2020-07-01,112
2020-07-02,157
2020-07-03,100
2020-07-04,130
2020-07-05,86
2020-07-06,71
2020-07-07,123
2020-07-08,90
2020-07-09,143
2020-07-10,142
2020-07-11,107
2020-07-12,123
2020-07-13,80
2020-07-14,131
2020-07-15,113
2020-07-16,107
2020-07-17,180
2020-07-18,137
2020-07-19,127
2020-07-20,63
2020-07-21,122
2020-07-22,185
2020-07-23,155
2020-07-24,183
2020-07-25,186
2020-07-26,110
2020-07-27,160
2020-07-28,150
2020-07-29,158
2020-07-30,145
2020-07-31,147
2020-08-01,212
2020-08-02,66
2020-08-03,198
2020-08-04,136
2020-08-05,169
2020-08-06,167
2020-08-07,98
2020-08-08,109
2020-08-09,32
2020-08-10,164
2020-08-11,85
2020-08-12,81
2020-08-13,130
2020-08-14,68
2020-08-15,82
2020-08-16,81
2020-08-17,82
2020-08-18,82
2020-08-19,72
2020-08-20,50
2020-08-21,82
2020-08-22,93
2020-08-23,50
2020-08-24,83
2020-08-25,55
2020-08-26,80
2020-08-27,74
2020-08-28,62
2020-08-29,79
2020-08-30,36
2020-08-31,99
2020-09-01,46
2020-09-02,64
2020-09-03,53
2020-09-04,79
2020-09-05,76
2020-09-06,34
2020-09-07,69
2020-09-08,58
2020-09-09,27
2020-09-10,47
2020-09-11,56
2020-09-12,79
2020-09-13,34
2020-09-14,50
2020-09-15,55
2020-09-16,27
2020-09-17,44
2020-09-18,49
2020-09-19,47
2020-09-20,14
2020-09-21,40
2020-09-22,43
2020-09-23,32
2020-09-24,85
2020-09-25,50
2020-09-26,93
2020-09-27,29
2020-09-28,73
2020-09-29,28
2020-09-30,31
2020-10-01,31
2020-10-02,43
2020-10-03,50
2020-10-04,17
2020-10-05,46
2020-10-06,22
2020-10-07,33
2020-10-08,66
2020-10-09,42
2020-10-10,22
2020-10-11,27
2020-10-12,24
2020-10-13,34
2020-10-14,15
2020-10-15,37
2020-10-16,49
2020-10-17,62
2020-10-18,45
2020-10-19,63
2020-10-20,88
2020-10-21,55
2020-10-22,62
2020-10-23,58
2020-10-24,36
2020-10-25,33
2020-10-26,69
2020-10-27,81
2020-10-28,31
2020-10-29,48
2020-10-30,44
2020-10-31,67
2020-11-01,132
2020-11-02,66
2020-11-03,110
2020-11-04,25
2020-11-05,46
2020-11-06,73
2020-11-07,92
2020-11-08,53
2020-11-09,154
2020-11-10,116
2020-11-11,46
2020-11-12,49
2020-11-13,56
2020-11-14,44
2020-11-15,9
2020-11-16,13
2020-11-17,43
2020-11-18,30
2020-11-19,60
2020-11-20,58
2020-11-21,30
2020-11-22,16
2020-11-23,39
2020-11-24,16
2020-11-25,14
2020-11-26,12
2020-11-27,5
