date,cases
2020-03-15,1
2020-03-16,1
2020-03-19,3
2020-03-20,1
2020-03-21,1
2020-03-22,4
2020-03-24,1
2020-03-25,1
2020-03-26,2
2020-03-27,1
2020-04-01,3
2020-04-04,1
2020-04-11,3
2020-04-12,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-18,3
2020-04-19,5
2020-04-20,1
2020-04-22,7
2020-04-23,2
2020-04-24,16
2020-04-25,2
2020-04-26,3
2020-04-27,12
2020-04-28,1
2020-04-29,5
2020-05-01,1
2020-05-02,7
2020-05-03,1
2020-05-04,5
2020-05-05,14
2020-05-06,1
2020-05-07,1
2020-05-08,18
2020-05-13,1
2020-05-14,1
2020-05-15,7
2020-05-18,4
2020-05-19,5
2020-05-20,1
2020-05-22,4
2020-05-26,5
2020-05-28,1
2020-05-30,2
2020-06-01,3
2020-06-02,3
2020-06-03,2
2020-06-04,7
2020-06-05,4
2020-06-06,9
2020-06-07,3
2020-06-08,4
2020-06-09,7
2020-06-10,4
2020-06-11,2
2020-06-13,5
2020-06-15,2
2020-06-16,13
2020-06-17,8
2020-06-18,5
2020-06-19,5
2020-06-20,4
2020-06-21,1
2020-06-22,2
2020-06-23,7
2020-06-24,3
2020-06-25,13
2020-06-26,8
2020-06-27,7
2020-06-28,1
2020-06-29,5
2020-06-30,7
2020-07-01,19
2020-07-02,9
2020-07-03,31
2020-07-04,10
2020-07-05,9
2020-07-06,15
2020-07-07,34
2020-07-08,17
2020-07-09,34
2020-07-10,17
2020-07-11,19
2020-07-12,11
2020-07-13,34
2020-07-14,33
2020-07-15,52
2020-07-16,25
2020-07-17,27
2020-07-18,19
2020-07-19,14
2020-07-20,21
2020-07-21,44
2020-07-22,180
2020-07-23,50
2020-07-24,72
2020-07-25,44
2020-07-26,67
2020-07-27,127
2020-07-28,140
2020-07-29,71
2020-07-30,54
2020-07-31,217
2020-08-01,59
2020-08-02,53
2020-08-03,95
2020-08-04,156
2020-08-05,84
2020-08-06,116
2020-08-07,62
2020-08-08,102
2020-08-09,54
2020-08-10,93
2020-08-11,105
2020-08-12,97
2020-08-13,210
2020-08-14,113
2020-08-15,66
2020-08-16,191
2020-08-17,115
2020-08-18,136
2020-08-19,155
2020-08-20,121
2020-08-21,183
2020-08-22,115
2020-08-23,145
2020-08-24,276
2020-08-25,177
2020-08-26,104
2020-08-27,117
2020-08-28,121
2020-08-29,185
2020-08-30,89
2020-08-31,143
2020-09-01,125
2020-09-02,80
2020-09-03,234
2020-09-04,264
2020-09-05,110
2020-09-06,116
2020-09-07,198
2020-09-08,102
2020-09-09,136
2020-09-10,152
2020-09-11,160
2020-09-12,117
2020-09-13,93
2020-09-14,151
2020-09-15,141
2020-09-16,103
2020-09-17,129
2020-09-18,146
2020-09-19,124
2020-09-20,111
2020-09-21,146
2020-09-22,158
2020-09-23,106
2020-09-24,50
2020-09-25,111
2020-09-26,121
2020-09-27,82
2020-09-28,159
2020-09-29,129
2020-09-30,159
2020-10-01,160
2020-10-02,188
2020-10-03,156
2020-10-04,106
2020-10-05,215
2020-10-06,184
2020-10-07,123
2020-10-08,132
2020-10-09,164
2020-10-10,143
2020-10-11,129
2020-10-12,152
2020-10-13,159
2020-10-14,196
2020-10-15,280
2020-10-16,289
2020-10-17,316
2020-10-18,183
2020-10-19,450
2020-10-20,431
2020-10-21,310
2020-10-22,290
2020-10-23,324
2020-10-24,381
2020-10-25,251
2020-10-26,309
2020-10-27,300
2020-10-28,252
2020-10-29,236
2020-10-30,286
2020-10-31,281
2020-11-01,230
2020-11-02,200
2020-11-03,341
2020-11-04,236
2020-11-05,173
2020-11-06,285
2020-11-07,240
2020-11-08,250
2020-11-09,431
2020-11-10,223
2020-11-11,96
2020-11-12,267
2020-11-13,267
2020-11-14,224
2020-11-15,230
2020-11-16,229
2020-11-17,233
2020-11-18,151
2020-11-19,303
2020-11-20,332
2020-11-21,188
2020-11-22,157
2020-11-23,387
2020-11-24,180
2020-11-25,178
2020-11-26,258
2020-11-27,293
2020-11-28,175
2020-11-29,114
2020-11-30,188
2020-12-01,304
2020-12-02,285
2020-12-03,441
2020-12-04,376
2020-12-05,414
2020-12-06,293
2020-12-07,461
2020-12-08,364
2020-12-09,388
2020-12-10,529
2020-12-11,650
2020-12-12,484
2020-12-13,536
2020-12-14,272
2020-12-15,452
2020-12-16,360
2020-12-17,219
2020-12-18,199
2020-12-19,132
2020-12-20,66
2020-12-21,229
2020-12-22,191
2020-12-23,130
2020-12-24,99
2020-12-25,41
2020-12-26,20
2020-12-27,8
2020-12-28,33
