date,cases
2020-03-15,2
2020-03-16,3
2020-03-17,1
2020-03-20,2
2020-03-21,1
2020-03-22,3
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-28,10
2020-03-30,1
2020-03-31,2
2020-04-05,1
2020-04-06,1
2020-04-07,2
2020-04-10,1
2020-04-11,3
2020-04-12,2
2020-04-13,2
2020-04-14,34
2020-04-15,13
2020-04-16,1
2020-04-17,6
2020-04-18,9
2020-04-19,13
2020-04-20,5
2020-04-21,4
2020-04-24,1
2020-04-25,5
2020-04-27,2
2020-05-05,1
2020-05-06,2
2020-05-08,1
2020-05-09,16
2020-05-11,2
2020-05-12,1
2020-05-13,1
2020-05-16,1
2020-05-17,1
2020-05-18,1
2020-05-20,1
2020-05-21,4
2020-05-24,3
2020-05-25,1
2020-05-26,1
2020-05-31,2
2020-06-01,2
2020-06-03,3
2020-06-04,1
2020-06-05,4
2020-06-06,1
2020-06-08,2
2020-06-09,3
2020-06-10,6
2020-06-11,4
2020-06-12,4
2020-06-13,2
2020-06-14,2
2020-06-15,5
2020-06-16,15
2020-06-17,8
2020-06-18,14
2020-06-19,3
2020-06-20,7
2020-06-21,2
2020-06-22,1
2020-06-23,6
2020-06-24,11
2020-06-25,9
2020-06-26,14
2020-06-27,3
2020-06-28,8
2020-06-29,7
2020-06-30,5
2020-07-01,13
2020-07-02,14
2020-07-03,10
2020-07-04,15
2020-07-05,17
2020-07-06,32
2020-07-07,20
2020-07-08,21
2020-07-09,30
2020-07-10,13
2020-07-11,13
2020-07-12,25
2020-07-13,22
2020-07-14,32
2020-07-15,11
2020-07-16,48
2020-07-17,46
2020-07-18,51
2020-07-19,20
2020-07-20,55
2020-07-21,28
2020-07-22,48
2020-07-23,52
2020-07-24,72
2020-07-25,93
2020-07-26,62
2020-07-27,83
2020-07-28,71
2020-07-29,162
2020-07-30,86
2020-07-31,61
2020-08-01,48
2020-08-02,27
2020-08-03,104
2020-08-04,131
2020-08-05,70
2020-08-06,166
2020-08-07,72
2020-08-08,75
2020-08-09,65
2020-08-10,67
2020-08-11,114
2020-08-12,91
2020-08-13,136
2020-08-14,115
2020-08-15,197
2020-08-16,52
2020-08-17,85
2020-08-18,104
2020-08-19,136
2020-08-20,200
2020-08-21,110
2020-08-22,93
2020-08-23,72
2020-08-24,188
2020-08-25,117
2020-08-26,93
2020-08-27,101
2020-08-28,88
2020-08-29,120
2020-08-30,81
2020-08-31,129
2020-09-01,128
2020-09-02,74
2020-09-03,104
2020-09-04,181
2020-09-05,136
2020-09-06,118
2020-09-07,184
2020-09-08,126
2020-09-09,113
2020-09-10,120
2020-09-11,123
2020-09-12,95
2020-09-13,140
2020-09-14,164
2020-09-15,114
2020-09-16,57
2020-09-17,114
2020-09-18,117
2020-09-19,108
2020-09-20,122
2020-09-21,146
2020-09-22,154
2020-09-23,132
2020-09-24,68
2020-09-25,91
2020-09-26,141
2020-09-27,82
2020-09-28,110
2020-09-29,126
2020-09-30,125
2020-10-01,54
2020-10-02,143
2020-10-03,137
2020-10-04,90
2020-10-05,181
2020-10-06,140
2020-10-07,151
2020-10-08,133
2020-10-09,96
2020-10-10,87
2020-10-11,70
2020-10-12,102
2020-10-13,116
2020-10-14,96
2020-10-15,170
2020-10-16,116
2020-10-17,109
2020-10-18,115
2020-10-19,194
2020-10-20,241
2020-10-21,174
2020-10-22,172
2020-10-23,204
2020-10-24,162
2020-10-25,66
2020-10-26,147
2020-10-27,169
2020-10-28,111
2020-10-29,157
2020-10-30,121
2020-10-31,105
2020-11-01,60
2020-11-02,119
2020-11-03,128
2020-11-04,128
2020-11-05,130
2020-11-06,120
2020-11-07,90
2020-11-08,89
2020-11-09,175
2020-11-10,102
2020-11-11,89
2020-11-12,137
2020-11-13,159
2020-11-14,103
2020-11-15,75
2020-11-16,102
2020-11-17,169
2020-11-18,111
2020-11-19,215
2020-11-20,205
2020-11-21,89
2020-11-22,81
2020-11-23,166
2020-11-24,130
2020-11-25,139
2020-11-26,283
2020-11-27,109
2020-11-28,95
2020-11-29,76
2020-11-30,135
2020-12-01,108
2020-12-02,173
2020-12-03,201
2020-12-04,173
2020-12-05,134
2020-12-06,64
2020-12-07,102
2020-12-08,64
2020-12-09,191
2020-12-10,236
2020-12-11,195
2020-12-12,140
2020-12-13,69
2020-12-14,245
2020-12-15,186
2020-12-16,172
2020-12-17,89
2020-12-18,5
