date,cases
2020-03-18,2
2020-03-22,1
2020-03-25,2
2020-03-27,1
2020-03-28,2
2020-03-29,2
2020-03-30,1
2020-03-31,1
2020-04-03,3
2020-04-04,3
2020-04-05,1
2020-04-06,1
2020-04-08,3
2020-04-11,3
2020-04-13,1
2020-04-14,2
2020-04-15,2
2020-04-16,1
2020-04-17,2
2020-04-18,1
2020-04-20,10
2020-04-21,1
2020-04-27,1
2020-04-28,1
2020-04-30,2
2020-05-05,1
2020-05-18,2
2020-05-19,1
2020-05-20,2
2020-05-21,1
2020-05-22,1
2020-05-23,1
2020-05-24,1
2020-05-25,2
2020-05-26,5
2020-05-27,4
2020-05-28,8
2020-05-29,13
2020-05-31,2
2020-06-01,7
2020-06-02,10
2020-06-03,4
2020-06-04,5
2020-06-05,10
2020-06-06,8
2020-06-07,8
2020-06-08,7
2020-06-09,5
2020-06-10,12
2020-06-11,4
2020-06-12,6
2020-06-13,5
2020-06-14,1
2020-06-15,12
2020-06-16,14
2020-06-17,12
2020-06-18,13
2020-06-19,12
2020-06-20,10
2020-06-21,5
2020-06-22,6
2020-06-23,20
2020-06-24,18
2020-06-25,30
2020-06-26,20
2020-06-27,25
2020-06-28,20
2020-06-29,18
2020-06-30,62
2020-07-01,43
2020-07-02,57
2020-07-03,50
2020-07-04,51
2020-07-05,33
2020-07-06,71
2020-07-07,85
2020-07-08,111
2020-07-09,105
2020-07-10,118
2020-07-11,74
2020-07-12,59
2020-07-13,144
2020-07-14,109
2020-07-15,108
2020-07-16,165
2020-07-17,196
2020-07-18,138
2020-07-19,95
2020-07-20,132
2020-07-21,172
2020-07-22,136
2020-07-23,156
2020-07-24,165
2020-07-25,157
2020-07-26,144
2020-07-27,195
2020-07-28,148
2020-07-29,86
2020-07-30,116
2020-07-31,105
2020-08-01,98
2020-08-02,61
2020-08-03,136
2020-08-04,120
2020-08-05,84
2020-08-06,149
2020-08-07,72
2020-08-08,124
2020-08-09,86
2020-08-10,137
2020-08-11,121
2020-08-12,105
2020-08-13,101
2020-08-14,114
2020-08-15,69
2020-08-16,73
2020-08-17,87
2020-08-18,163
2020-08-19,121
2020-08-20,139
2020-08-21,155
2020-08-22,123
2020-08-23,106
2020-08-24,158
2020-08-25,157
2020-08-26,118
2020-08-27,82
2020-08-28,131
2020-08-29,106
2020-08-30,101
2020-08-31,194
2020-09-01,132
2020-09-02,130
2020-09-03,86
2020-09-04,80
2020-09-05,57
2020-09-06,107
2020-09-07,126
2020-09-08,141
2020-09-09,110
2020-09-10,125
2020-09-11,140
2020-09-12,128
2020-09-13,115
2020-09-14,168
2020-09-15,137
2020-09-16,72
2020-09-17,90
2020-09-18,138
2020-09-19,122
2020-09-20,54
2020-09-21,116
2020-09-22,129
2020-09-23,143
2020-09-24,141
2020-09-25,106
2020-09-26,143
2020-09-27,162
2020-09-28,231
2020-09-29,124
2020-09-30,168
2020-10-01,150
2020-10-02,129
2020-10-03,133
2020-10-04,178
2020-10-05,264
2020-10-06,129
2020-10-07,152
2020-10-08,109
2020-10-09,167
2020-10-10,145
2020-10-11,139
2020-10-12,126
2020-10-13,144
2020-10-14,162
2020-10-15,96
2020-10-16,127
2020-10-17,189
2020-10-18,95
2020-10-19,246
2020-10-20,199
2020-10-21,137
2020-10-22,195
2020-10-23,230
2020-10-24,117
2020-10-25,167
2020-10-26,182
2020-10-27,166
2020-10-28,137
2020-10-29,122
2020-10-30,135
2020-10-31,113
2020-11-01,99
2020-11-02,51
2020-11-03,86
2020-11-04,91
2020-11-05,123
2020-11-06,99
2020-11-07,81
2020-11-08,88
2020-11-09,168
2020-11-10,117
2020-11-11,106
2020-11-12,129
2020-11-13,112
2020-11-14,73
2020-11-15,44
2020-11-16,53
2020-11-17,145
2020-11-18,99
2020-11-19,83
2020-11-20,79
2020-11-21,67
2020-11-22,48
2020-11-23,85
2020-11-24,74
2020-11-25,98
2020-11-26,64
2020-11-27,60
2020-11-28,78
2020-11-29,56
2020-11-30,78
2020-12-01,109
2020-12-02,98
2020-12-03,118
2020-12-04,80
2020-12-05,104
2020-12-06,16
2020-12-07,139
2020-12-08,30
2020-12-09,130
2020-12-10,127
2020-12-11,100
2020-12-12,80
2020-12-13,31
2020-12-14,164
2020-12-15,150
2020-12-16,156
2020-12-17,133
2020-12-18,133
2020-12-19,127
2020-12-20,38
2020-12-21,138
