date,cases
2020-05-08,1
2020-05-21,1
2020-06-05,1
2020-06-16,1
2020-06-23,1
2020-06-30,8
2020-07-01,7
2020-07-02,3
2020-07-11,3
2020-07-14,1
2020-07-15,1
2020-07-16,3
2020-07-17,4
2020-07-20,2
2020-07-27,1
2020-07-28,1
2020-07-29,1
2020-07-30,1
2020-08-02,1
2020-08-03,1
2020-08-06,3
2020-08-07,1
2020-08-10,2
2020-08-14,1
2020-08-20,1
2020-08-26,1
2020-08-27,1
2020-08-29,1
2020-09-01,1
2020-09-04,2
2020-09-05,3
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-10,5
2020-09-11,3
2020-09-14,2
2020-09-15,1
2020-09-16,1
2020-09-17,2
2020-09-18,2
2020-09-19,3
2020-09-20,1
2020-09-21,3
2020-09-22,1
2020-09-23,2
2020-09-24,2
2020-09-25,3
2020-09-26,9
2020-09-27,2
2020-09-28,5
2020-09-29,5
2020-09-30,2
2020-10-01,14
2020-10-02,12
2020-10-05,9
2020-10-06,4
2020-10-07,1
2020-10-08,1
2020-10-10,1
2020-10-11,1
2020-10-12,1
2020-10-13,12
2020-10-15,5
2020-10-16,1
2020-10-17,1
2020-10-18,2
2020-10-19,3
2020-10-20,45
2020-10-21,1
2020-10-24,3
2020-10-26,2
2020-10-27,1
2020-10-28,3
