date,cases
2020-06-15,1
2020-06-20,1
2020-07-08,1
2020-07-10,1
2020-07-23,1
2020-07-27,1
2020-07-30,1
2020-08-03,2
2020-08-10,1
2020-08-13,1
2020-08-16,3
2020-08-19,1
2020-08-20,1
2020-08-21,2
2020-08-22,1
2020-08-24,1
2020-08-25,1
2020-09-08,1
2020-09-09,1
2020-09-10,2
2020-09-11,1
2020-09-15,1
2020-09-18,1
2020-09-19,1
2020-09-23,1
2020-09-24,1
2020-09-28,2
2020-10-03,1
2020-10-05,3
2020-10-07,2
2020-10-10,4
2020-10-11,4
2020-10-13,1
2020-10-15,1
2020-10-16,1
2020-10-20,1
2020-10-21,2
2020-10-22,1
2020-10-23,1
2020-10-24,1
2020-10-25,3
2020-10-27,2
2020-10-28,1
2020-11-03,2
2020-11-04,1
2020-11-05,3
2020-11-06,7
2020-11-07,1
2020-11-08,1
2020-11-09,1
2020-11-10,1
2020-11-12,3
2020-11-13,4
2020-11-16,1
2020-11-17,1
2020-11-19,1
2020-11-20,2
2020-11-24,1
2020-12-01,1
2020-12-02,2
2020-12-05,2
2020-12-07,1
